245$a	245$b	245$c	100	wikidata100	502$b	502$c	502$d	008	300$a	700	Wikidata	856$u	001
Euripides and gender :	the difference the fragments make /	Melissa Karen Anne Funke.	"Funke, Melissa Karen Anne,author.http://www.wikidata.org/entity/Q107268112"	Q107268112	Ph. D.	University of Washington	2013.	140424t20132013waua\\\\od\\\\000\0\eng\d	1 online resource (232 pages) :	"Blondell, Ruby,1954-degree supervisor.http://www.wikidata.org/entity/Q55154421"	Q55154421	http://hdl.handle.net/1773/23384	878079469
Galen's On phlebotomy against the Erasistrateans in Rome (Galeni De venae sectione adversvs Erasistrateos Romae degentes)		"edited with introduction, critical notes, translation and commentary, by Ronald Fred Kotrc."	Galen.		Ph. D.	University of Washington	1970	890530s1970\\\\xx\\\\\\\m\\\\000\0\eng\d	252 leaves	"Kotrc, Ronald Fred,1938-"			19781412
Atomism in the Aeneid :	"physics, politics, and cosmological disorder /"	Matthew M. Gorey.	"Gorey, Matthew M.,author.http://www.wikidata.org/entity/Q107158948"	Q107158948	Ph. D.	University of Washington	2017	171218t20172017waua\\\\obm\\s000\0\eng\d	"1 online resource (ix, 179 pages) :"	"Hinds, Stephen,degree supervisor.http://www.wikidata.org/entity/Q2344786"	Q2344786	http://hdl.handle.net/1773/40534	1015727369
Callimachus and the Greek prose traditions /		Robin J. Greene.	"Greene, Robin J."		Ph. D.	University of Washington	2011	111028s2011\\\\xx\a\\\\\bm\\\000\0\eng\d	"v, 277 leaves"				759000422
Sophistic epistemology /		Hans-Peder B. Hanson.	"Hanson, Hans-Peder B."		Ph. D.	University of Washington	2009	100528s2009\\\\xx\\\\\\\bm\\\000\0\eng\d	"ii, 436 pages"			http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3394253	632356688
Allusion and cultural memory in late antiquity :	"Ausonius, Prudentius, and Claudian /"	Joshua J. Hartman.	"Hartman, Joshua J.,author.http://www.wikidata.org/entity/Q107182870"	Q107182870	Ph. D.	University of Washington	2016	161026t20162016waua\\\\obm\\s000\0\eng\d	"1 online resource (xii, 227 pages) :"	"Hinds, Stephen,degree supervisor.http://www.wikidata.org/entity/Q2344786"	Q2344786	http://hdl.handle.net/1773/37068	961219402
Narrative anxiety in Tacitus' Histories /		by Holly Haynes.	"Haynes, Holly."		Ph. D.	University of Washington	1996	970213s1996\\\\xx\\\\\\rbm\\\000\0\eng\c	"ii, 251 leaves"				36385722
Non-metrical prose rhythm in classical Latin literature /		by Steven Carl Heller.	"Heller, Steven Carl."		Ph. D.	University of Washington	1989	891114s1989\\\\xx\\\\\\\bm\\\000\0\eng\d	"iii, 279 leaves"				20644961
'Almost knowing how to read' :	scribes as creative partners in homeric transmission /	Molly Herbert.	"Herbert, Molly."		Ph. D.	University of Washington	2009	100119s2009\\\\xx\\\\\\\bm\\\000\0\eng\d	"iii, 173 leaves"			http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3377285	500915368
Homeward bound :	gendered spatial arrangements in classical Athenian houses /	Sonia E. Isaacs.	"Isaacs, Sonia Esperanza."		Ph. D.	University of Washington	2010	110222s2010\\\\xx\a\\\\\bm\\\000\0\eng\d	"iv, 150 leaves :"			http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3431668	703316716
