245$a	245$b	245$c	100	wikidata	502$b	502$c	502$d	8	300$a	700	856$u	1
Vesicle aging and reversion /		by Hassan Madani.	"Madani, Hassan,1962-"		Ph. D.	University of Washington	1989	900717s1989\\\\xx\a\\\\\bm\\\000\0\eng\d	"ix, 144 leaves :"			22051886
Thermal stability of ceramic and carbon fiber-reinforced bismaleimide matrix composites /		by Franck J. Magendie.	"Magendie, Franck J."		M.S.E.	University of Washington	1990	910225s1990\\\\xx\a\\\\\bm\\\000\0\eng\d	"xii, 175 leaves :"			23154062
Phase behavior and microstructure of nonaqueous surfactant solutions /		by Anthony Martino.	"Martino, Anthony,1964-"		Ph. D.	University of Washington	1991	910827s1991\\\\xx\a\\\\\bm\\\000\0\eng\d	"ix, 157 leaves :"			24300196
Freeze drying spray frozen aerosols :	applications in synthesizing high Tc ceramic superconductors /	by Patrick J. McGrath.	"McGrath, Patrick J."		M.S. Ch. E.	University of Washington	1989	900720s1989\\\\xx\a\\\\\bm\\\000\0\eng\d	"iii, 84 leaves :"			22105352
Feedback control and optimization of fed-batch fermentations /		by Mohamed Merigh.	"Merigh, Mohamed,1965-"		Ph. D.	University of Washington	1992	930602s1992\\\\xx\a\\\\\bm\\\000\0\eng\d	"xi, 150 pages :"			28196857
An investigation into the surface-enhanced precipitation of proteins /		by Richard A. Merrill.	"Merrill, Richard A."		M.S. Ch. E.	University of Washington	1990	910226s1990\\\\xx\a\\\\\bm\\\000\0\eng\d	"v, 101 leaves :"			23158331
Electroacoustic and electrophoretic determination of zeta potential :	effect of a polymer adlayer and particle porosity /	by Nils P. Miller.	"Miller, Nils P.,1964-"		Ph. D.	University of Washington	1992	930602s1992\\\\xx\a\\\\\bm\\\000\0\eng\d	"iv, 82 leaves :"			28196889
Affinity precipitation of proteins with polymer-bound ligands /		John Edward Morris.	"Morris, John Edward,1962-"		Ph. D.	University of Washington	1991	920402s1991\\\\xx\a\\\\\bm\\\000\0\eng\d	"ix, 179 leaves :"			25582035
Mechanisms influencing the stability of a nonaqueous phosphor dispersion /		by David D. Mysko.	"Mysko, David D."		M.S. Ch. E.	University of Washington	1992	930202s1992\\\\xx\a\\\\\bm\\\000\0\eng\d	"iii, 73 leaves :"			27359082
Polymer matrix degradation :	characterization and manufacturing process for high temperature composites /	by Jae-Do Nam.	"Nam, Jae-Do,1961-"		Ph. D.	University of Washington	1991	920317s1991\\\\xx\a\\\\\bmt\\000\0\eng\d	"xx, 336 leaves :"		http://hdl.handle.net/1773/9867;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9203289	25489806
Dielectric thermal analysis of polymeric matrices /		by Kirk A. Nass.	"Nass, Kirk A.,1960-"		Ph. D.	University of Washington	1989	900131s1989\\\\xx\a\\\\\bm\\\000\0\eng\d	"xxi, 280 leaves :"		http://hdl.handle.net/1773/9897;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9000287	20979382
High performance thermoplastic matrix composite consolidation processes /		by Karl M. Nelson.	"Nelson, Karl M.(Karl Marius),1960-"		Ph. D.	University of Washington	1990	910712s1990\\\\xx\a\\\\\bm\\\000\0\eng\d	"xxv, 273 leaves :"			24061216
Physicochemical modification of chitosan /		Mark Peyron.	"Peyron, Mark,1961-"		Ph. D.	University of Washington	1994	071012s1994\\\\xx\a\\\\\bm\\\000\0\eng\d	"x, 220 leaves :"			174120186
Adaptive finite element analysis of non-Newtonian flow /		by Rekha R. Rao.	"Rao, Rekha R.(Rekha Ranjana),1965-"		Ph. D.	University of Washington	1990	910718s1990\\\\xx\a\\\\\bm\\\000\0\eng\d	"xi, 195 leaves :"			24099417
Mechanisms of protein adsorption :	multiple adsorption states /	by Richard J. Rapoza.	"Rapoza, Richard J.,1962-"		Ph. D.	University of Washington	1989	900417s1989\\\\xx\a\\\\\bm\\\000\0\eng\d	"xxiii, 297 leaves :"			21386031
Raman spectroscopic investigation of gas-solid reactions of single microparticles /		by Scot David Rassat.	"Rassat, Scot David."		Ph. D.	University of Washington	1994	950424s1994\\\\xx\a\\\\\bm\\\000\0\eng\d	"xvii, 283 leaves :"			32360968
The electrospraying of liquids /		by Thomas W. Remmers.	"Remmers, Thomas W.,1963-"		Ph. D.	University of Washington	1991	920108s1991\\\\xx\a\\\\\bm\\\000\0\eng\d	"ix, 170 leaves :"			25068311
Interfibrillar mineralization of natural cellulosic fibers by in situ precipitation of insoluble salts /		by Philippe Ritzenthaler.	"Ritzenthaler, Philippe."		M.S. Ch. E.	University of Washington	1994	950510s1994\\\\xx\a\\\\\bm\\\000\0\eng\d	"xii, 138 leaves :"			32452727
Behavior of concentrated dispersions /		by Beatriz Eugenia Rodriquez.	"Rodriquez, Beatriz Eugenia,1958-"		Ph. D.	University of Washington	1991	911003s1991\\\\xx\a\\\\\bm\\\000\0\eng\d	"xiii, 208 leaves :"			24495066
The chemical reactor design tool :	a portable software package for education and reactor engineering /	by Brigette Marie Rosendall.	"Rosendall, Brigette Marie."		M.S. Ch. E.	University of Washington	1994	950210s1994\\\\xx\a\\\\\bm\\\000\0\eng\d	"vi, 99 leaves :"			31967875
Direct simulation of enhancement of turbulent heat transfer by micro-riblets /		by Jeffrey Rutledge.	"Rutledge, Jeffrey,1959-"		Ph. D.	University of Washington	1989	891227s1989\\\\xx\a\\\\\bm\\\000\0\eng\d	"xiv, 206 leaves :"		http://hdl.handle.net/1773/9839;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:8911655	20822098
Scale-up studies for thermo-oxidative stability of polymeric composites /		by Irene Salin.	"Salin, Irene."		Ph. D.	University of Washington	1994	940919s1994\\\\xx\a\\\\\bmt\\000\0\eng\d	"xix, 333 leaves :"		http://hdl.handle.net/1773/9871	31142394
Investigation of the solid-liquid interface of systems with fuel cell and semiconductor applications /		by David Edward Sauer.	"Sauer, David Edward,1966-"		Ph. D.	University of Washington	1994	950717s1994\\\\xx\a\\\\\bmt\\000\0\eng\d	"xi, 183 leaves :"		http://hdl.handle.net/1773/9913	32830942
Electrokinetically enhanced sedimentation of colloidal particles in aqueous suspensions /		by Julie Elizabeth Sauer.	"Sauer, Julie Elizabeth."		M.S. Ch. E.	University of Washington	1993	940525s1993\\\\xx\a\\\\\bm\\\000\0\eng\d	"vii, 78 leaves :"			30493722
The effects of fiber swelling on liquid transport in fibrous media /		by David R. Schuchardt.	"Schuchardt, David R."		M.S. Ch. E.	University of Washington	1989	900206s1989\\\\xx\a\\\\\bm\\\000\0\eng\d	"x, 116 leaves :"			21010107
The kinetics of dynamic wetting in the low capillary number regime /		by Jill Elisabeth Seebergh.	"Seebergh, Jill Elisabeth,1967-"		M.S. Ch. E.	University of Washington	1991	920409s1991\\\\xx\a\\\\\bm\\\000\0\eng\d	"vi, 70 leaves :"			25619458
Adaptive internal model control with disturbance prediction /		by Thomas R. Sim.	"Sim, Thomas R.,1961-"		Ph. D.	University of Washington	1990	910405s1990\\\\xx\a\\\\\bm\\\000\0\eng\d	"ix, 149 leaves :"			23380144
Modeling ion-pair effect of boron adsorption by kaolinite /		by Shivi P.N. Singh.	"Singh, Shivi P. N."		M.S. Ch. E.	University of Washington	1992	920917s1992\\\\xx\a\\\\\bm\\\000\0\eng\d	"vi, 62 leaves :"			26621160
Physicochemical and biochemical aspects of fibrinogen adsorption from plasma and binary protein solutions /		by Steven M. Slack.	"Slack, Steven M.,1961-"		Ph. D.	University of Washington	1989	900213s1989\\\\xx\a\\\\\bm\\\000\0\eng\d	"xviii, 245 leaves :"			21056631
Enhanced lignin removal in brown stock washing /		by Allen Joseph Smith.	"Smith, Allen Joseph."		M.S. Ch. E.	University of Washington	1991	920316s1991\\\\xx\a\\\\\bm\\\000\0\eng\d	"iv, 84 leaves :"			25483897
Biomass pyrolysis :	temperature distribution and composition effects /	by S. Somasundaram.	Somasundaram S.		M.S. Ch. E.	University of Washington	1990	910701s1990\\\\xx\a\\\\\bm\\\000\0\eng\d	"vi, 124 leaves :"			24015705
"Process modeling, state estimation, and feedback control polymer composite processing /"		by Kathryn A Soucy.	"Soucy, Kathryn A.,1964-"		Ph. D.	University of Washington	1991	920310s1991\\\\xx\a\\\\\bm\\\000\0\eng\d	"xiii, 150 leaves :"			25427592
Application of the Mahalanobis distance to adsorbed protein infrared spectral changes /		by Jeffrey Joseph Stuart.	"Stuart, Jeffrey Joseph."		M.S. Ch. E.	University of Washington	1994	950509s1994\\\\xx\a\\\\\bm\\\000\0\eng\d	"ix, 101 leaves :"			32443587
Internal model control with constraints on process inputs and outputs /		by Tilak Subrahmanian.	"Subrahmanian, Tilak."		M.S. CH. E.	University of Washington	1989	900104s1989\\\\xx\a\\\\\bm\\\000\0\eng\d	"vii, 102 leaves :"			20846443
Degradative processes in polymer composites /		by Luigi Torre.	"Torre, Luigi,1962-"		Ph. D.	University of Washington	1994	950822s1994\\\\xx\a\\\\\bm\\\000\0\eng\d	"xii, 206 leaves :"			33026257
Processing studies in advanced composites /		by Thierry Tulleau.	"Tulleau, Thierry."		M.S.E.	University of Washington	1992	930712s1992\\\\xx\a\\\\\bm\\\000\0\eng\d	"xvi, 160 leaves :"			28436464
"A study of the chemical heterogeneity, surface chemistry and in vitro degradation of a medical grade polyetherurethane /"		by Bonnie J. Tyler.	"Tyler, Bonnie June,1962-"		Ph. D.	University of Washington	1992	920922s1992\\\\xx\a\\\\\bm\\\000\0\eng\d	"xi, 232 leaves :"			26651713
The aggregation stability of vesicle dispersions /		by Judson William Virden.	"Virden, Judson William,1960-"		Ph. D.	University of Washington	1991	920408s1991\\\\xx\a\\\\\bm\\\000\0\eng\d	"xiv, 224 leaves :"			25613677
Acid-base interactions in adhesion and wetting /		by Michael David Vrbanac.	"Vrbanac, Michael David,1958-"		Ph. D.	University of Washington	1989	900808s1989\\\\xx\a\\\\\bm\\\000\0\eng\d	"xi, 146 leaves :"			22197239
Radioactivity measurement of single microparticles using an electrodynamic balance /		by Timothy L. Ward.	"Ward, Timothy L.,1956-"		Ph. D.	University of Washington	1989	890928s1989\\\\xx\a\\\\\bm\\\000\0\eng\d	"xiv, 166 leaves :"			20409725
Controlled insulin release :	development and characterization of a glucose sensitive membrane /	by Sara Waterman.	"Waterman, Sara."		M.S. Ch. E.	University of Washington	1989	900726s1989\\\\xx\a\\\\\bm\\\000\0\eng\d	"ix, 92 leaves :"			22148660
A finite element method for flow problems with free surfaces and moving fronts /		by Kenneth W. Westerberg.	"Westerberg, Kenneth W.(Kenneth William),1965-"		Ph. D.	University of Washington	1992	930316s1992\\\\xx\a\\\\\bm\\\000\0\eng\d	"viii, 200 leaves :"			27739043
Aggregation of colloidal particles at the air-water interface /		by David F. Williams.	"Williams, David F.(David Francis),1956-"		Ph. D.	University of Washington	1991	920213s1991\\\\xx\a\\\\\bmt\\000\0\eng\d	"ix, 124 leaves :"		http://hdl.handle.net/1773/9912;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9131724	25274034
Aircraft manufacturing issues with thermoplastic and thermosetting materials /		by Sidharta Wiryana.	"Wiryana, Sidharta."		M.S.E.	University of Washington	1993	940728s1993\\\\xx\a\\\\\bm\\\000\0\eng\d	"xiii, 159 leaves :"			30841052
Adapting multivariate analysis for monitoring and modeling of dynamic systems /		by Barry Mitchell Wise.	"Wise, Barry Mitchell."		Ph. D.	University of Washington	1991	911002s1991\\\\xx\a\\\\\bmt\\000\0\eng\d	"xi, 196 leaves :"		http://hdl.handle.net/1773/9860;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9124955	24488848
Layered advanced thermosetting polymer systems /		by Shangying Zeng.	"Zeng, Shangying."		Ph. D.	University of Washington	1994	950209s1994\\\\xx\a\\\\\bm\\\000\0\eng\d	"xvii, 324 leaves :"			31960604
"Electrodynamic trapping, manipulation, and Raman characterization of single particles and fine particulate clouds /"		by Christopher L. Aardahl.	"Aardahl, Christopher L.,1968-"		Ph. D.	University of Washington	1997	980121s1997\\\\xx\a\\\\\bm\\\000\0\eng\d	"vii, 210 leaves :"		http://hdl.handle.net/1773/9863	38234927
Transposon mutagenesis of Escherichia coli GroEL /		by Danielle Amatore.	"Amatore, Danielle."		M.S. Ch. E.	University of Washington	2001	011018s2001\\\\xx\a\\\\\bm\\\000\0\eng\d	"v, 85 leaves :"			48173350
Modeling the anatomy and physiology of the bronchial circulation :	application to airway gas exchange /	by Joseph Clark Anderson.	"Anderson, Joseph Clark."		M.S.	University of Washington	1998	981210s1998\\\\xx\a\\\\\bm\\\000\0\eng\d	"vi, 88 leaves :"			40472434
Quantification of pulmonary gas exchange :	combined effects of gas solubility and transport mechanisms /	by Joseph Clark Anderson.	"Anderson, Joseph Clark."		Ph. D.	University of Washington	2001	011015s2001\\\\xx\a\\\\\bm\\\000\0\eng\d	"viii, 165 pages :"		http://hdl.handle.net/1773/9823;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3013922	48151315
Quantifying single oil-particle interactions in aqueous media /		by David Eric Aston.	"Aston, D. E.,1972-"		Ph. D.	University of Washington	2001	011016s2001\\\\xx\a\\\\\bm\\\000\0\eng\d	"v, 135 pages :"		http://hdl.handle.net/1773/9898;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3013925	48158842
Influence of the GroE molecular chaperone machine on the in vitro folding of Escherichia coli [beta]-galactosidase /		by Amanda J. Ayling.	"Ayling, Amanda J."		M.S. Ch. E.	University of Washington	1999	991214s1999\\\\xx\a\\\\\bm\\\000\0\eng\d	"iv, 74 leaves :"			43001248
Surface analysis and engineering of two-dimensional assemblies of purines and pyrimidines on gold /		by Thomas Boland.	"Boland, Thomas,1965-"		Ph. D.	University of Washington	1995	951108s1995\\\\xx\a\\\\\bm\\\000\0\eng\d	"xi, 207 leaves :"			33439450
Mass transport in the acoustic streaming flow near a cylindrical electrode /		by Jeffrey A. Bowman.	"Bowman, Jeffrey A."		M.S. Ch. E.	University of Washington	1999	991215s1999\\\\xx\a\\\\\bm\\\000\0\eng\d	"v, 67 leaves :"			43030478
Transportable scaling methodologies for polymeric composites :	from prepreg characterization to large scale systems integration /	by Carl Edward Bruce.	"Bruce, Carl Edward."		M.S. Ch. E.	University of Washington	1999	000427s1999\\\\xx\a\\\\\bm\\\000\0\eng\d	"ix, 112 leaves :"			43938702
Viscoelastic processing and characterization of high-performance polymeric composite systems /		Frédéric Ulysse Buehler.	"Buehler, Frédéric Ulysse,1972-"		Ph. D.	University of Washington	2000	010110s2000\\\\xx\a\\\\\bm\\\000\0\eng\d	"xxi, 248 pages :"		http://hdl.handle.net/1773/9880;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9975960	45696624
Thermal and rheological properties of ultrathin polymer films using nanorheological techniques /		Cynthia Kho Buenviaje.	"Buenviaje, Cynthia Kho,1971-"		Ph. D.	University of Washington	2001	020724s2001\\\\xx\a\\\\\bm\\\000\0\eng\d	"ix, 200 leaves :"			50233609
A systematic approach to network development :	from polymeric composite materials to processing of information through organizations /	by Fulcanelli S. Chavez.	"Chavez, Fulcanelli S."		M.S.E.	University of Washington	1999	991214s1999\\\\xx\a\\\\\bm\\\000\0\eng\d	"ix, 142 leaves :"			43001972
In-situ monitoring of electrokinetic transport in soils /		by Derek Christiansen.	"Christiansen, Derek."		M.S. Ch. E.	University of Washington	1995	960430s1995\\\\xx\a\\\\\bm\\\000\0\eng\d	"vi, 60 leaves :"			34652298
Environmental effects on the long-term durability and utilization of polymeric composites /		Kimo Chung.	"Chung, Kimo,1958-"		Ph. D.	University of Washington	2001	010829s2001\\\\xx\a\\\\\bm\\\000\0\eng\d	"xii, 209 leaves :"		http://hdl.handle.net/1773/9835;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3014061	47865065
"Expression, degradation, and applications of Escherichia coli TolA-beta-lactamase fusion proteins /"		by Kerri W. Cooper.	"Cooper, Kerri W.(Kerri Winston)"		Ph. D.	University of Washington	1998	990920s1998\\\\xx\a\\\\\bm\\\000\0\eng\d	"vii, 90 leaves :"		http://hdl.handle.net/1773/9815;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9916638	42397899
Investigation of processing effects in thermoplastic composites /		by Abhijit P. Deshpande.	"Deshpande, Abhijit P."	Q51053657	Ph. D.	University of Washington	1996	961211s1996\\\\xx\a\\\\\bm\\\000\0\eng\d	"xi, 191 leaves :"			36071355
Investigation of sized cellulose surfaces with scanning probe microscopy techniques /		by Lynne Elizabeth Dickson.	"Dickson, Lynne Elizabeth."		M.S. Ch. E.	University of Washington	1999	991108s1999\\\\xx\a\\\\\bm\\\000\0\eng\d	"ix, 150 leaves :"			42788399
Flow in the cone-and-plate rheometer and the effect of cone misalignment /		by Douglas Jeffrey Dudgeon.	"Dudgeon, Douglas Jeffrey,1965-"		Ph. D.	University of Washington	1995	951204s1995\\\\xx\a\\\\\bm\\\000\0\eng\d	"vii, 132 leaves :"			33840471
Non-linear state estimation and control of emulsion polymerization /		by Mark Taylor Eaton.	"Eaton, Mark Taylor,1960-"		Ph. D.	University of Washington	1995	960816s1995\\\\xx\a\\\\\bm\\\000\0\eng\d	"xi, 247 leaves :"		http://hdl.handle.net/1773/9901	35253455
Dynamic processes in single liquid microspheres /		by Willard Rodney Foss.	"Foss, Willard Rodney,1964-"		Ph. D.	University of Washington	1995	960910s1995\\\\xx\a\\\\\bm\\\000\0\eng\d	"xvii, 347 leaves :"		http://hdl.handle.net/1773/9911	35455753
"A quantitative description of the perfusion-, diffusion-, and ventilation-related characteristics of airway gas exchange /"		by Steven Carl George.	"George, Steven Carl."		Ph. D.	University of Washington	1995	951204s1995\\\\xx\a\\\\\bm\\\000\0\eng\d	"vi, 167 leaves :"			33840418
Stochastic simulation of non-Newtonian flow fields /		by Kevin Richard Geurts.	"Geurts, Kevin Richard,1968-"		Ph. D.	University of Washington	1995	960910s1995\\\\xx\a\\\\\bm\\\000\0\eng\d	"x, 192 leaves :"		http://hdl.handle.net/1773/9821	35455993
Process-structure-property relationships of model phenolic resins for aerospace applications /		by Sébastien Guionnet.	"Guionnet, Sébastien."		M.S. Ch. E.	University of Washington	1999	000209s1999\\\\xx\a\\\\\bm\\\000\0\eng\d	"x, 175 leaves :"			43430135
Development of line-imaging Raman spectroscopy for use with electrochemical systems /		by Scott Michael Haight.	"Haight, Scott Michael,1969-"		Ph. D.	University of Washington	1997	970917s1997\\\\xx\a\\\\\bm\\\000\0\eng\d	"xi, 157 leaves :"		http://hdl.handle.net/1773/9899	37636920
The energetics of adhesion in composite materials /		by Philip H. Harding.	"Harding, Philip H.(Philip Hiram),1964-"		Ph. D.	University of Washington	1997	981019s1997\\\\xx\a\\\\\bm\\\000\0\eng\d	"vi, 111 pages :"		http://hdl.handle.net/1773/9819	40134264
Measurement of platelet intracellular free calcium ion concentration by ratio fluorescence microscopy :	a study of platelet activation induced by contact with biomaterials /	by Kip D. Hauch.	"Hauch, Kip D.(Kip Dale),1964-"		Ph. D.	University of Washington	1997	981021s1997\\\\xx\a\\\\\bm\\\000\0\eng\d	"viii, 257 leaves :"		http://hdl.handle.net/1773/9822	40149099
Simulation engineering of polymeric prepreg composite systems /		by Brian Steven Hayes.	"Hayes, Brian S."		Ph. D.	University of Washington	1997	980528s1997\\\\xx\a\\\\\bm\\\000\0\eng\d	"xiv, 281 leaves :"		http://hdl.handle.net/1773/9906	39191811
Development engineering of advanced polymeric composite systems /		by Roman Werner Hillermeier.	"Hillermeier, Roman Werner."		Ph. D.	University of Washington	2000	010524s2000\\\\xx\a\\\\\bm\\\000\0\eng\d	"xviii, 257 pages :"		http://hdl.handle.net/1773/9919;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9983491	47006053
"Electrocatalysis of methanol oxidation on clean, poisoned, and promoted platinum surfaces /"		by Thomas Daniel Jarvi.	"Jarvi, Thomas Daniel."		Ph. D.	University of Washington	1998	990629s1998\\\\xx\a\\\\\bm\\\000\0\eng\d	"viii, 243 leaves :"			41627604
Characterization of electrodeposited nickel hexacyanoferrate for electrochemically switched ion exchange /		Kavita M. Jeerage.	"Jeerage, Kavita M."		Ph. D.	University of Washington	2001	011019s2001\\\\xx\a\\\\\bm\\\000\0\eng\d	"ix, 121 leaves :"			48181038
In-situ and post-growth investigation of low temperature Group III-nitride thin films deposited via MOCVD /		by Michael Christopher Johnson.	"Johnson, Michael Christopher."		Ph. D.	University of Washington	2001	011018s2001\\\\xx\a\\\\\bm\\\000\0\eng\d	"xi, 185 leaves :"		http://hdl.handle.net/1773/9925;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3013977	48175062
Electrokinetic clarification of concentrated colloidal suspensions /		Timothy Jay Johnson.	"Johnson, Timothy Jay,1973-"		Ph. D.	University of Washington	1999	000503s1999\\\\xx\a\\\\\bm\\\000\0\eng\d	"vii, 129 leaves :"		http://hdl.handle.net/1773/9905;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9944132	43972840
"Surface and biological properties of biofouling-resistant, poly(ethylene oxide)-like plasma deposited films /"		by Erika Ellen Johnston.	"Johnston, Erika Ellen."		Ph. D.	University of Washington	1997	981021s1997\\\\xx\a\\\\\bm\\\000\0\eng\d	"vii, 259 leaves :"		http://hdl.handle.net/1773/9890	40146849
Intraporous precipitation in cellulosic matrices /		by Antony Joseph.	"Joseph, Antony,1969-"		M.S. Ch. E.	University of Washington	1995	960920s1995\\\\xx\a\\\\\bm\\\000\0\eng\d	"x, 139 leaves :"			35598425
Preparation and characterization of synthetic mineral surfaces :	"adsorption and thermal decomposition of tetraethoxysilane on magnesium oxide, molybdenum, and titanium dioxide surfaces /"	by Teresa Ann Jurgens-Kowal.	"Jurgens-Kowal, Teresa Ann,1968-"		Ph. D.	University of Washington	1996	970919s1996\\\\xx\a\\\\\bm\\\000\0\eng\d	"xix, 354 pages :"		http://hdl.handle.net/1773/9865	37650842
High-performance adhesive systems for polymer composite bonding applications /		by Jeremy Hager Klug.	"Klug, Jeremy Hager,1971-"		Ph. D.	University of Washington	1999	991109s1999\\\\xx\a\\\\\bm\\\000\0\eng\d	"xv, 247 leaves :"		http://hdl.handle.net/1773/9883;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9924107	42795602
UNIFAC calculations for predicting wetting and adhesion /		by Mark T. Knowlton.	"Knowlton, Mark T."		M.S. Ch. E.	University of Washington	2000	000803s2000\\\\xx\a\\\\\bm\\\000\0\eng\d	"iv, 48 leaves :"			44717215
Surface investigations of the atomic layer growth mechanism in aluminum nitride thin film deposition using dimethylethylamine alane and ammonia /		by Jason Se-Yung Kuo.	"Kuo, Jason Se-Yung."		Ph. D.	University of Washington	1999	991112s1999\\\\xx\a\\\\\bm\\\000\0\eng\d	"x, 115 leaves :"		http://hdl.handle.net/1773/9853;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9924109	42816008
The effects of protein adsorption to polyethylene on platelet adhesion from a flowing red cell suspension /		by Dean J. Kwak.	"Kwak, Dean J."		M.S. Ch. E.	University of Washington	2001	020404s2001\\\\xx\a\\\\\bm\\\000\0\eng\d	"xi, 170 leaves :"			49523538
Design of novel infection-resistant biomaterials :	controlled release of antibiotics through plasma-deposited thin films /	by Connie Sau-Kuen Kwok.	"Kwok, Connie Sau-Kuen."		M.S. Ch. E.	University of Washington	1996	970918s1996\\\\xx\a\\\\\bm\\\000\0\eng\d	"vii, 151 leaves :"			37646915
Electrodeposition of NiFe 3-D microstructures /		by Steven D. Leith.	"Leith, Steven D."		Ph. D.	University of Washington	1998	990929s1998\\\\xx\a\\\\\bm\\\000\0\eng\d	"viii, 123 leaves :"		http://hdl.handle.net/1773/9855	42458968
Experimental study of the thermophoretic force and evaporation rates for single microparticles in the Knudsen regime /		by Wanguang Li.	"Li, Wanguang,1968-"		Ph. D.	University of Washington	1995	960930s1995\\\\xx\a\\\\\bm\\\000\0\eng\d	"xxi, 237 leaves :"		http://hdl.handle.net/1773/9929	35656289
"Surface reactions, solvation, and adsorption phenomena of electrolytic adlayers on metal surfaces /"		Seng Woon Lim.	"Lim, Seng Woon."		Ph. D.	University of Washington	2000	010427s2000\\\\xx\a\\\\\bm\\\000\0\eng\d	"xiii, 280 leaves :"		http://hdl.handle.net/1773/9837;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9983512	46831335
Metalorganic chemical vapor deposition of aluminum nitride :	mechanistics and surface chemistry studies /	by Herng Liu.	"Liu, Herng,1964-"		Ph. D.	University of Washington	1995	960930s1995\\\\xx\a\\\\\bm\\\000\0\eng\d	"xii, 196 leaves :"			35656403
Immobilized psychrophilic enzyme bioreactor for biotechnology and bioremediation /		Douglas Ian MacDonald.	"MacDonald, Douglas Ian."		M.S. Ch. E.	University of Washington	2001	011015s2001\\\\xx\a\\\\\bm\\\000\0\eng\d	"ix, 119 leaves :"			48151167
Novel technique development for characterizing electro-oxidation processes on platinum surfaces /		Thomas H. Madden.	"Madden, Thomas H."		Ph. D.	University of Washington	2001	020722s2001\\\\xx\a\\\\\bm\\\000\0\eng\d	"ix, 173 leaves :"		http://hdl.handle.net/1773/9836	50212062
Prepreg effects on honeycomb composite manufacturing /		by Cary Joseph Martin.	"Martin, Cary Joseph,1971-"		Ph. D.	University of Washington	1998	990218s1998\\\\xx\a\\\\\bm\\\000\0\eng\d	"xiii, 195 leaves :"		http://hdl.handle.net/1773/9861;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9836216	40817928
Degradation behavior of polymeric composite materials /		by Ross J. Monroe.	"Monroe, Ross J."		M.S.E.	University of Washington	1996	970304s1996\\\\xx\a\\\\\bm\\\000\0\eng\d	"viii, 161 leaves :"			36480041
