245$a	245$b	245$c	100	wikidata	502$b	502$c	502$d	8	300$a	700	856$u	1
An investigation into the turbulence characteristics of fluids in pipe flow.			"Martin, Godfrey Quentin,1928-"		Ph. D.	University of Washington		890602s1963\\\\xx\a\\\\\bm\\\000\0\eng\d	132 leaves			19805848
Momentum transfer in a Venturi-Scrubber.			"Matteson, Michael J."		M.S.	University of Washington		890602s1960\\\\xx\a\\\\\bm\\\000\0\eng\d	63 leaves			19805401
Ion exchange studies of the Ba++-Na+-Dowex 50 W-X8 system at 0.1N concentration.			"Maurice, Guy Pierre."		M.S. in Chem. E.	University of Washington		890602s1962\\\\xx\a\\\\\bm\\\000\0\eng\d	102 leaves			19804050
Heat and mass transfer in a Venturi-Scrubber.			"McDonald, Robert Bond."		M.S.	University of Washington		890602s1960\\\\xx\a\\\\\bm\\\000\0\eng\d	44 leaves			19804075
"The reduction of titanium tetrachloride to titanium by fused salt electrolysis,"		by Donald L. Merrick.	"Merrick, Donald L."		M.S. in Chem. E.	University of Washington	1960	960425s1960\\\\xx\a\\\\\bm\\\000\0\eng\d	"48, [1], xi leaves"			34631749
"The influence of nuclear radiation on boiling heat transfer,"		by Meldon Humphrey Merrill.	"Merrill, Meldon Humphrey."		M.S. in E.	University of Washington	1960	960425s1960\\\\xx\a\\\\\bm\\\000\0\eng\d	44 leaves			34631759
"Calculation of absorption rates with simultaneous irreversible second-order chemical reaction,"		by James Albert Moll.	"Moll, Albert James,1937-"		M.S. in Chem. E.	University of Washington	1961	960425s1961\\\\xx\a\\\\\bm\\\000\0\eng\d	109 leaves			34631776
Kinetics of the catalytic oxidation of ethylene.			"Nault, Larry George,1935-"		M.S. in Chem. E.	University of Washington		890602s1959\\\\xx\a\\\\\bm\\\000\0\eng\d	"61, [1] leaf"			19805440
A dynamic programming approach to the optimization of nuclear reactor operating conditions.			"Neef, William Irving."		M.S. in Chem. E.	University of Washington		890602s1962\\\\xx\a\\\\\bm\\\000\0\eng\d	74 leaves			19804846
The distribution of eddy thermal diffusivity near a pipe wall.			"Ohm, Gerald Erwin."		M.S. in Chem. Eng.	University of Washington		890724s1963\\\\xx\a\\\\\bm\\\000\0\eng\d	31 leaves			20058960
A study of liquid mixing on sieve plates.			"Olson, Robert Erling."		M.S. in Chem. Eng.	University of Washington		890724s1961\\\\xx\a\\\\\bm\\\000\0\eng\d	50 leaves			20059266
"Design, construction and operation of a moving bed charcoal adsorption column."			"Oré, Fernando,1924-"		Ph. D.	University of Washington		890724s1959\\\\xx\a\\\\\bm\\\000\0\eng\d	"163, [1] leaf"			20059428
A scintillation dip type detector for monitoring large bodies of water.			"Papadopulos, Emanuel."		M.S. in E.	University of Washington		890622s1961\\\\xx\a\\\\\bm\\\000\0\eng\d	119 leaves			19909775
Maximum stable drop size in turbulent flow.			"Paul, Henry I."		M.S. in Chem. E.	University of Washington		890602s1962\\\\xx\a\\\\\bm\\\000\0\eng\d	37 leaves			19804889
Interfacial resistance to evaporation due to hydrogen bonding.			"Pilat, Michael Joseph,1938-"		M.S. in Chem. E.	University of Washington		890607s1963\\\\xx\a\\\\\bm\\\000\0\eng\d	85 leaves			19828271
A investigation of natural circulation vertical tube reboiler capacity and performance.			"Pope, Bill Jordan,1922-"		Ph. D.	University of Washington		890607s1959\\\\xx\a\\\\\bm\\\000\0\eng\d	93 leaves			19828700
Single particle studies on cation exchange for the system Ba-Cu-DOWEX-50W-X8.			"Rai, Juey Hong,1936-"		M.S. in Chem. Eng.	University of Washington		890707s1963\\\\xx\a\\\\\bm\\\000\0\eng\d	134 leaves			19976715
Single particle studies of cation exchange rates in fixed beds for the system Cu-Na-Dowex 50W-X8.			"Rao, Manthripragada Gopala,1932-"		Ph. D.	University of Washington		890707s1963\\\\xx\a\\\\\bm\\\000\0\eng\d	189 leaves			19976679
Mass transfer in laminar liquid-liquid jets.			"Rao, Velliyur Nott Padmanabha,1936-"		M.S. in Chem. Eng.	University of Washington		890706s1960\\\\xx\af\\\\bm\\\000\0\eng\d	51 leaves			19967933
Temperature dependence of self-diffusion coefficients.			"Rathbun, Ronald Eugene,1932-"		M.S. in Chem. Eng.	University of Washington		890706s1959\\\\xx\a\\\\\bm\\\000\0\eng\d	80 leaves			19967829
Gas absorption accompanied by ionization of the solute with specific reference to the system sulfur dioxide-water.			"Ratkowsky, David A.,1935-"		Ph. D.	University of Washington		890706s1960\\\\xx\a\\\\\bm\\\000\0\eng\d	85 leaves			19967879
Unsteady state absorption in the system:	carbon dioxide - sodium hydroxide - sodium biocarbonate - sodium carbonate - water.		"Rehm, Thomas Roger,1929-"		Ph. D.	University of Washington		890607s1960\\\\xx\a\\\\\bm\\\000\0\eng\d	130 leaves			19828742
Plate efficiencies in multicomponent distillation.			"Repapis, Manoli Pericles."		M.S. in Chem. E.	University of Washington		890607s1962\\\\xx\a\\\\\bm\\\000\0\eng\d	78 leaves			19828254
The effect on pressure on catalytic cracking of centane.			"Rogers, Albert John."		M.S. in Chem. E.	University of Washington		890603s1959\\\\xx\a\\\\\bm\\\000\0\eng\d	84 leaves			19808136
Factors affecting fluidized bed quality.			"Romero, Jacob Benjamin,1932-"		Ph. D.	University of Washington		890531s1959\\\\xx\a\\\\\bm\\\000\0\eng\d	"178, [1] leaf"		http://hdl.handle.net/1773/9887;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:6000871	19789959
The vapor pressure of glycerol.			"Ross, George Roger."		M.S. in Chem. E.	University of Washington		890602s1961\\\\xx\a\\\\\bm\\\000\0\eng\d	43 leaves			19805589
"Reactivity effects of fuel burnup in nuclear reactors,"		by Clyde William Savery Jr.	"Savery, Clyde William."		M.S. in E.	University of Washington		890706s1960\\\\xx\a\\\\\bm\\\000\0\eng\d	142 leaves			19967986
