245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Studies on the time of x-chromosome inactivation in the mouse /"		"by Paul Garbutt Kratzer."	"Kratzer, Paul Garbutt."		"University of Washington"		"890615s1979\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 94 leaves :"			"19872338"
"Fine structure analysis of the SUP4 locus in Saccharomyces cerevisiae /"		"by Janet Ann Kurjan."	"Kurjan, Janet Ann."		"University of Washington"		"800327s1979\\\\xx\f\\\\\bm\\\000\0\eng\d"	"vi, 115 leaves, 21 unnumbered leaves of plates "			"6133740"
"Spot, a new Genetic locus involved in the stringent control of RNA synthesis in Escherichia coli."			"Laffler, Thomas Gordon."	"Ph. D."	"University of Washington"		"890526s1974\\\\xx\a\\\\\bm\\\000\0\eng\d"	"116 leaves"			"19768326"
"A comparison of two mouse immunoglobulin M proteins /"		"by Robert Alan Lavin."	"Lavin, Robert Alan."	"M.S."	"University of Washington"		"791102s1979\\\\xx\f\\\\\bm\\\000\0\eng\d"	"vi, 51 leaves, 33 unnumbered leaves of plates "			"5638804"
"An investigation of enzyme activity patterns in a synchronized human established cell line."			"Levitats, Raymond Yehuda."	"M.S."	"University of Washington"		"890602s1969\\\\xx\a\\\\\bm\\\000\0\eng\d"	"42 leaves"			"19799669"
"Biological and physical effects of radiophosphorus decay in bacteriophage T4D."			"Levy, Jack Norman,1943-"	"Ph. D."	"University of Washington"		"890602s1972\\\\xx\a\\\\\bm\\\000\0\eng\d"	"151 leaves"			"19801333"
"Some developmental effects of three mutations which map within a tightly linked cluster of maternal-effect genes /"		"by Dale Edward Lindsley."	"Lindsley, Dale Edward."	"M.S."	"University of Washington"		"800326s1979\\\\xx\f\\\\\bm\\\000\0\eng\d"	"iv, 39 leaves, 4 unnumbered leaves of plates "			"6131361"
"Temperature-sensitive mutants in an established mouse cell line"	"evidence for a cell division cycle mutant."		"Liskay, Robert Michael."	"Ph. D."	"University of Washington"		"890602s1974\\\\xx\a\\\\\bm\\\000\0\eng\d"	"77 leaves"			"19802032"
"Temperature-sensitive mutants of neurospora and the role of some cell functions in germination."			"Loo, Melanie Wai Sue."	"Ph. D."	"University of Washington"		"890602s1974\\\\xx\a\\\\\bm\\\000\0\eng\d"	"186 leaves"			"19802226"
"The interaction of caffeine with UV light, X rays and chemical mutagens in their effects on recombination and cell visibility."			"Lopes, Amandio J. Madeira."	"M.S."	"University of Washington"		"890602s1971\\\\xx\a\\\\\bm\\\000\0\eng\d"	"68 leaves"			"19800762"
"Orientation disruptor (ord)"	"a recombination-defective and disjunction-defective meiotic mutant in Drosophila melanogaster."		"Mason, James Michael."	"Ph. D."	"University of Washington"		"890522s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"80 leaves"			"19745366"
"Irradiation-induced mutations in the segregation-distorter region in Drosophila melanogaster."			"McClanahan, Marsha Lyn."	"M.S."	"University of Washington"		"890602s1974\\\\xx\a\\\\\bm\\\000\0\eng\d"	"74 leaves"			"19801735"
"Exchange and nondisjunction of the X chromosomes in female Drosophila melanogaster."			"Merriam, John Roger,1940-"	"M.S."	"University of Washington"		"900810s1963\\\\xx\a\\\\\bm\\\000\0\eng\d"	"31 leaves"			"22205843"
"Exchange and secondary nondisjunction in females of Drosophila melanogaster homozygous for X chromosome inversions."			"Merriam, John Roger,1940-"	"Ph. D."	"University of Washington"		"890602s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"152 leaves"			"19804537"
"Studies on a modifier locus in Drosophila melanogaster."			"Miller, Steven Michael."	"M.S."	"University of Washington"		"890602s1969\\\\xx\a\\\\\bm\\\000\0\eng\d"	"62 leaves"			"19804617"
"Investigation of the relationship between mitosis and meiosis in Saccharomyces cerevisiae,"		"by Charles Potter Milne, Jr."	"Milne, Charles Potter."	"M.S."	"University of Washington"		"890605s1972\\\\xx\a\\\\\bm\\\000\0\eng\d"	"60 leaves"			"19810026"
"Dispensable and indispensable genes in Neurospora,"		"by Kenneth John Morrow, Jr."	"Morrow, John,1938-"	"M.S."	"University of Washington"		"900813s1962\\\\xx\a\\\\\bm\\\000\0\eng\d"	"54 leaves"			"22212694"
"An investigation into the basis of variation of purine analogue resistance in an established murine cell line,"		"by Kenneth John Morrow, Jr."	"Morrow, John,1938-"	"Ph. D."	"University of Washington"		"900810s1964\\\\xx\a\\\\\bm\\\000\0\eng\d"	"105 leaves"			"22205275"
"Amino acid starvation sensitivity of yeast."			"Mund, George Edward."	"M.S."	"University of Washington"		"890622s1965\\\\xx\a\\\\\bm\\\000\0\eng\d"	"54 [1] leaf"			"19910387"
"A search for isoenzyme variation in human liver during development and in the adulthood,"		"by Robert Fulton Murray, Jr."	"Murray, Robert Fulton."	"M.S."	"University of Washington"		"890609s1968\\\\xx\a\\\\\bm\\\000\0\eng\d"	"46 leaves"			"19840614"
"X chromosome inactivation mosaicism in the mouse."			"Nesbitt, Muriel Nicole,1942-"	"Ph. D."	"University of Washington"		"890818s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"72 leaves"			"20212301"
"Fractionation of Drosophila melanogaster interphase chromosomes."			"Nishiura, James Teruo,1944-"	"Ph. D."	"University of Washington"		"890818s1972\\\\xx\a\\\\\bm\\\000\0\eng\d"	"100 leaves"			"20212344"
"Restricted genetic variation among enzymes of critical metabolic function in mammals."			"Omenn, Gilbert S."	"Ph. D."	"University of Washington"		"890818s1972\\\\xx\a\\\\\bm\\\000\0\eng\d"	"205 leaves"			"20212375"
"The seryl transfer RNA genes of Saccharomyces cerevisae /"		"by Guy Stuart Page."	"Page, Guy Stuart."		"University of Washington"		"890526s1978\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 97 leaves :"			"19768600"
"Genetic studies on chromosome structure and recombination in bacteriophage T4D."			"Parma, David Hopkins,1940-"	"Ph. D."	"University of Washington"		"890526s1968\\\\xx\a\\\\\bm\\\000\0\eng\d"	"134 leaves"			"19768503"
"A meiotic mutant which causes a polarized disruption of chromosome pairing in female Drosophila melanogaster."			"Parry, Dilys Myfanwy,1943-"	"Ph. D."	"University of Washington"		"890526s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"101 leaves"			"19768436"
"The specificity of thymineless mutagenesis."			"Pauling, E. Crellin(Edward Crellin),1937-1997."	"Ph. D."	"University of Washington"		"890622s1964\\\\xx\a\\\\\bm\\\000\0\eng\d"	"76 leaves"			"19910349"
"A study of aromatic amino acid transport in Neurospora crassa."			"Peterson, Madeleine Grummel."	"M.S."	"University of Washington"		"890615s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"40 leaves"			"19872260"
"Structure and replication of yeast chromosomal DNA."			"Petes, Thomas D."	"Ph. D."	"University of Washington"		"890615s1973\\\\xx\a\\\\\bm\\\000\0\eng\d"	"134 leaves"			"19872287"
"Repression and induction of alkaline phosphatase in Escherichia coli."			"Pratt, Charles Walter,1944-"	"Ph. D."	"University of Washington"		"890615s1971\\\\xx\a\\\\\bm\\\000\0\eng\d"	"103 leaves"			"19872159"
"Mating type mutations obtained from ""rare matings"" of cells of like mating type."			"Rabin, Myron."	"M.S."	"University of Washington"		"890615s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"56 leaves"			"19872233"
"The relationship between induced mutation rate and chromosome dosage in established mouse fibroblast lines."			"Raskind, Wendy Herlihy."	"Ph. D."	"University of Washington"		"890512s1977\\\\xx\a\\\\\bm\\\000\0\eng\d"	"78 leaves"			"19697714"
"Regulation and integration of the cell-division cycle and the mating reaction in the yeast Saccharomyces cerevisiae /"		"by Brian Jay Reid."	"Reid, Brian Jay."		"University of Washington"		"800328s1979\\\\xx\f\\\\\bm\\\000\0\eng\d"	"x, 335 leaves, 65 unnumbered leaves of plates "			"6138608"
"DNA replication in the yeast cell cycle /"		"by Carol Jane Rivin."	"Rivin, Carol Jane."		"University of Washington"		"890615s1978\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 95 leaves :"			"19872134"
"Nonexchange alignment"	"a meiotic process revealed by a meiotic mutant in Drosophila melanogaster."		"Robbins, Leonard Gilbert,1945-"	"Ph. D."	"University of Washington"		"890615s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"97 leaves"			"19872114"
"Meiotic effects of the cell division cycle mutations of Saccharomyces cerevisiae /"		"by David Schild."	"Schild, David."		"University of Washington"		"890512s1978\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 116 leaves :"			"19697780"
"Cytogenetic studies in a male pseudohermaphrodite with triple mosaicism /"		"by Joseph Arnold Schuster."	"Schuster, Joseph Arnold."	"M.S."	"University of Washington"	"1962"	"890706s1962\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 40 leaves :"			"19965905"
"A biochemical and genetic study of reversion at the am locus in Neurospora."			"Seale, Thomas Winston,1942-"	"Ph. D."	"University of Washington"		"890503s1968\\\\xx\a\\\\\bm\\\000\0\eng\d"	"102 leaves"			"19646758"
"The mitotic nuclear division cycle of Neurospora crassa."			"Serna, Leticia."	"M.S."	"University of Washington"		"890602s1977\\\\xx\a\\\\\bm\\\000\0\eng\d"	"73 leaves"			"19804405"
"Characterization of ribonucleic acid molecules restricted to the cell nucleus."			"Shearer, Ruth Evelyn Whisler,1930-"	"Ph. D."	"University of Washington"		"890518s1969\\\\xx\a\\\\\bm\\\000\0\eng\d"	"100 leaves"			"19730591"
"Evidence for ribonucleic acid molecules restricted to the cell nucleau."			"Shearer, Ruth Evelyn Whisler,1930-"	"M.S."	"University of Washington"		"890602s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"31 unnumbered leaves"			"19805265"
"Utilization of tritium labeled deoxycytidine monophosphate and thymidine in a radioautographic study of human chromosomes."			"Sigman, Bernice."	"M.S."	"University of Washington"		"900905s1967\\\\xx\a\\\\\bm\\\000\0\eng\d"	"36 leaves"			"22333025"
"Examination of DNA-membrane complexes isolated from escherichia coli."			"Slotnick, Robert Nathan."	"M.S."	"University of Washington"		"890605s1974\\\\xx\a\\\\\bm\\\000\0\eng\d"	"50 leaves"			"19811038"
"Studies on the origins and behavior of disomics in Neurospora crassa."			"Smith, David Allan."	"M.S."	"University of Washington"		"890518s1968\\\\xx\\\\\\\bm\\\000\0\eng\d"	"78 leaves"			"19730519"
"Towards an understanding of the pertinacious haploidy of Neurospora crassa."			"Smith, David Allan,1942-"	"Ph. D."	"University of Washington"		"890518s1971\\\\xx\a\\\\\bm\\\000\0\eng\d"	"87 leaves"			"19730804"
"DNA sequence organization in Vicia faba."			"Taylor, William Clark."	"Ph. D."	"University of Washington"		"890818s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"119 leaves"			"20212400"
"The effects of cytoplasmic extracts on DNA synthesis in vitro."			"Thompson, Lorin Ray,1943-"	"Ph. D."	"University of Washington"		"890503s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"130 leaves"			"19646774"
"Chromosome rearrangements and sex chromosomes in the rainbow trout and sockeye salmon."			"Thorgaard, Gary H."	"Ph. D."	"University of Washington"		"890818s1977\\\\xx\a\\\\\bm\\\000\0\eng\d"	"101 leaves"			"20212428"
"Nutritional control of the S̲. c̲e̲r̲e̲v̲i̲s̲i̲a̲e̲ cell cycle."			"Unger, Michael William."	"Ph. D."	"University of Washington"		"890620s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"79 leaves"			"19897770"
"Physiological factors in the regulation of alkaline phosphatase synthesis in Escherichia coli."			"Wilkins, A. S.(Adam S.),1945-"	"Ph. D."	"University of Washington"		"890503s1969\\\\xx\a\\\\\bm\\\000\0\eng\d"	"84 leaves"			"19646770"
"Transient Gl arrest of S. cerevisiae cells of mating type a̲ by a factor produced by cells of mating type a̲."			"Wilkinson, Linda E."	"M.S."	"University of Washington"		"890503s1973\\\\xx\a\\\\\bm\\\000\0\eng\d"	"36 leaves"			"19646783"
