245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Protestant churches and the labor movement in the twentieth century ..."			"Zickefoose, Paul Wesley."	"M.A."	"University of Washington"		"890628s1949\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 126 leaves"			"19935825"
"The Washington State Unfair Practices Act ..."			"Wolf, Ronald Henry."	"M.A."	"University of Washington"		"890628s1949\\\\xx\\\\\\\bm\\\000\0\eng\d"	"i, 184 leaves"			"19935861"
"An analysis of the Chinese export trade to the United States in 1937 ..."			"Tsai, William Wei Lin."	"M.A."	"University of Washington"		"890628s1949\\\\xx\a\\\\\bm\\\000\0\eng\d"	"124 leaves"			"19935842"
"The nature of wartime inflation ..."			"Tong, Shou-Chien."	"M.A."	"University of Washington"		"890713s1949\\\\xx\a\\\\\bm\\\000\0\eng\d"	"77 leaves"			"20003006"
"The instrumental theory of demand ..."			"Ryan, John Morris."	"M.A."	"University of Washington"		"890615s1949\\\\xx\\\\\\\bm\\\000\0\eng\d"	"109 leaves"			"19873836"
"Behavior as a determinant of the economic theory of value ..."			"Raskind, Leo Joseph."	"M.A."	"University of Washington"		"890615s1949\\\\xx\\\\\\\bm\\\000\0\eng\d"	"x, 114 leaves"			"19873853"
"An administrative study of the occupation government of Japan: 1945-1949 ..."			"Jue, Stanton."	"M.A."	"University of Washington"		"890613s1949\\\\xx\a\\\\\bm\\\000\0\eng\d"	"355 leaves"			"19861216"
"An inquiry into some principles and practices of the Soviet economic planning ..."			"Ivy, Michel M."	"M.A."	"University of Washington"		"890616s1949\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 271 leaves"			"19880014"
"Development of the policy of granting exemptions from the antitrust laws ..."			"Hall, Rueben Arthur."	"M.A."	"University of Washington"		"890622s1949\\\\xx\\\\\\\bm\\\000\0\eng\d"	"vi, 179 leaves"			"19910975"
"The development of Local number 7 of the Food, Tobacco, Agricultural and Allied Workers of America - C.I.O. /"		"by Gerald Ford."	"Gold, Gerald,C.F.A."	"M.A."	"University of Washington"	"1949"	"890803s1949\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 210 leaves :"			"20117415"
"Rent differentiation related to segregated housing markets for racial groups - with special reference to Seattle, Washington ..."			"Fei, John Ching Han."	"M.A."	"University of Washington"		"890613s1949\\\\xx\a\\\\\bm\\\000\0\eng\d"	"134 leaves"			"19860579"
"A study of inflationary tendencies in post-war France ..."			"Charbonnier, Raymond Pierre."	"M.A."	"University of Washington"		"890803s1949\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x, 122 leaves"			"20117363"
"Pricing procedures in the Seattle used-car market,"		"by Edward Fletcher Chambers, Jr. ..."	"Chambers, Edward Fletcher."	"M.A."	"University of Washington"		"890606s1949\\\\xx\ab\\\\bm\\\000\0\eng\d"	"vii, 270 leaves"			"19823369"
