245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"A biologically plausible mechanism for phonology acquisition in human infants /"		"Max Strange."	"Strange, Max(Maxfield Taylor),author."	"M.S.C.S.S.E."	"University of Washington Bothell"	"2019."	"190816t20192019waua\\\\obm\\s000\0\eng\d"	"1 online resource (xii, 154 pages) :"	"Stiber, Michael,1962-degree supervisor."	"http://hdl.handle.net/1773/43867"	"1112366000"
"Performance analysis of real time streaming systems for smart buildings /"		"Kim Stuart."	"Stuart, Kim,1988-author."	"M.S.C.S.S.E."	"University of Washington Bothell"	"2017"	"170914t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (vii, 123 pages) :"	"Tolentino, Matthew E.,degree supervisor.;Baiocchi, Orlando R.,degree supervisor."	"http://hdl.handle.net/1773/39902"	"1003654989"
"Object manipulation with tangible user interface for head mounted augmented reality devices /"		"Michael Tanaya."	"Tanaya, Michael,author."	"M.S.C.S.S.E."	"University of Washington Bothell"	"2017"	"170913t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (vi, 37 pages) :"	"Sung, Kelvin,1964-degree supervisor."	"http://hdl.handle.net/1773/39878"	"1003584583"
"Crowdsourced evaluation for reranked Twitter search /"		"Garima Tiwari."	"Tiwari, Garima."	"M.S."	"University of Washington"	"2011"	"120113s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 42 pages :"			"772631066"
"Flexible operating system structure for dynamic memory management /"		"Matthew E. Tolentino."	"Tolentino, Matthew E."	"M.S."	"University of Washington"	"2005"	"060803s2005\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 76 leaves :"			"70827343"
"Machine learning based recommendations to aid educational planning and academic advising through the virtual academic advisor system /"		"Sri Venkata Bhavani Likitha Vijjapu."	"Vijjapu, Sri Venkata Bhavani Likitha,author."	"M.S.C.S.S.E."	"University of Washington, Bothell"	"2019."	"190923t20192019waua\\\\obm\\s000\0\eng\d"	"1 online resource (vii, 88 pages) :"	"Parsons, Erika(Erika F.),degree supervisor."	"http://hdl.handle.net/1773/44137"	"1120725582"
"Distributed agent management in a parallel simulation and analysis environment /"		"Cherie Lee Wasous."	"Wasous, Cherie Lee,author."	"M.S."	"University of Washington, Bothell"	"2014"	"141218t20142014waua\\\\obm\\s000\0\eng\d"	"1 online resource (ix, 65 pages) :"	"Fukuda, Munehiro,degree supervisor."	"http://hdl.handle.net/1773/26223"	"898307752"
"Detecting streaming wireless cameras with timing analysis /"		"Kevin Wu."	"Wu, Kevin,1993-author."	"M.S.C.S.E."	"University of Washington, Bothell"	"2018."	"190114t20182018waua\\\\obm\\s000\0\eng\d"	"1 online resource (iii, 57 pages) :"	"Lagesse, Brent,degree supervisor."	"http://hdl.handle.net/1773/42265"	"1082145467"
"Deep learning based CT image reconstruction /"		"Ruiwen Xing."	"Xing, Ruiwen,author."	"M.S.C.S.S.E."	"University of Washington, Bothell"	"2020."	"200504t20202020waua\\\\obm\\s000\0\eng\d"	"1 online resource (ii, 61 pages) :"	"Si, Dong(Computer scientist),degree supervisor."	"http://hdl.handle.net/1773/45403"	"1153151799"
"EMNets :"	"a convolutional autoencoder for protein surface retrieval based on cryo-electron microscopy imaging /"	"Jingjing Yang."	"Yang, Jingjing,1994-author."	"M.S.C.S.S.E."	"University of Washington, Bothell"	"2018."	"190508t20182018wau\\\\\obm\\s000\0\eng\d"	"1 online resource (i, 42 pages) :"	"Si, Dong(Computer scientist),degree supervisor."	"http://hdl.handle.net/1773/42939"	"1100482848"
