245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Montaigne's assiettes :"	"essaying the self /"	"by Marina L. Peters-Newell."	"Peters-Newell, Marina L."	"Ph. D."	"University of Washington"	"2000"	"010523s2000\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 196 leaves "		"http://hdl.handle.net/1773/8304;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9995421"	"46999120"
"Subalterno y nación en la escritura femenina latinoamericana :"	"Elena Poniatowska, Rosario Ferré y Diamela Eltit /"	"by Ximena W. Pino-Ojeda."	"Pino-Ojeda, Ximena W."	"Ph. D."	"University of Washington"	"1996"	"970502s1996\\\\xx\\\\\\\bm\\\000\0\eng\d"	"vi, 390 leaves "		"http://hdl.handle.net/1773/8278"	"36844131"
"Sartre and surrealism."			"Plank, William Gene,1935-"	"Ph. D."	"University of Washington"		"890613s1972\\\\xx\\\\\\\bm\\\000\0\eng\d"	"164 leaves"			"19860560"
"Ideologia y representación en Pablo Palacio /"		"by David Quintero."	"Quintero, David."	"Ph. D."	"University of Washington"	"1990"	"910812s1990\\\\xx\\\\\\\bm\\\000\0\spa\d"	"iv, 256 leaves "			"24224764"
"Humor negro de diferente voltaje en la literatura de Julio Cortázar y Luisa Valenzuela ="	"Black humor of differing voltage in the works of Julio Cortázar and Luisa Valenzuela /"	"by Alicia N. Ramírez."	"Ramírez, Alicia N."	"Ph. D."	"University of Washington"	"1996"	"970520s1996\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 226 leaves "		"http://hdl.handle.net/1773/8275"	"36932960"
"El estilo de José Luis Castillo-Puche en la Trilogía de la liberación /"		"by María Luisa Ramón Lacabe."	"Ramón Lacabe, María Luisa."	"Ph. D."	"University of Washington"	"1995"	"960506s1995\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 180 leaves "			"34683220"
"Zola's images of death /"		"by Victor Reinking."	"Reinking, Victor."	"M.A."	"University of Washington"	"1986"	"860625s1986\\\\xx\\\\\\\bm\\\000\0\eng\d"	"46 unnumbered leaves "			"13779826"
"Bonheur and jouissances :"	"happiness in Rousseau /"	"by Victor Reinking."	"Reinking, Victor,1947-"	"Ph. D."	"University of Washington"	"1993"	"940712s1993\\\\xx\\\\\\\bmt\\000\0\eng\d"	"iii, 140 leaves "		"http://hdl.handle.net/1773/8282;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9417076"	"30751376"
"The conception and methodological use of analogy in Buffon's L'Histoire naturelle and Le Discours sur le style /"		"by Suzanne Madeleine Ricard."	"Ricard, Suzanne Madeleine."	"M.A."	"University of Washington"		"800312s1979\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 82 leaves "			"6073055"
"A la recherche du chaos la poésie de Tristan Tzara /"		"by Jean E. Robertson."	"Robertson, Jean E."	"M.A."	"University of Washington"	"1987"	"871210s1987\\\\xx\\\\\\\bm\\\000\0\fre\d"	"74 leaves "			"17216480"
"Entrapment, claustrophobia, and stagnation in the theater of Antonio Gala and Ana Diosdado /"		"by Victoria Martinez Robertson."	"Robertson, Victoria Martinez."	"Ph. D."	"University of Washington"	"1986"	"870130s1986\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 331 leaves "			"15133877"
"Ambiguity, irony, and paradox in the Libro de buen amor :"	"how Juan Ruiz means /"	"by Dennis Meade Runnels."	"Runnels, Dennis Meade."	"M.A."	"University of Washington"	"1990"	"910830s1990\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 73 leaves "			"24317181"
"Poética del cuerpo femenino en el Primero sueño de sor Juana Inés de la Cruz /"		"Patricia Saldarriaga de von Loebenstein."	"Saldarriaga, Patricia."	"Ph. D."	"University of Washington"	"1999"	"000503s1999\\\\xx\a\\\\\bm\\\000\0\spa\d"	"iii, 273 leaves :"		"http://hdl.handle.net/1773/8294;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9944201"	"43975220"
"Poética y textos en Imán, de Sender /"		"by Fernando Samaniego."	"Samaniego, Fernando."	"Ph. D."	"University of Washington"	"1984"	"841226s1984\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 256 leaves "			"11525712"
"The problem of the individual in Sender"	"a formal and thematic approach,"	"by Mary Lundale Seale."	"Seale, Mary Suzanna Lundale,1942-"	"Ph. D."	"University of Washington"		"890605s1972\\\\xx\\\\\\\bm\\\000\0\eng\d"	"236 leaves"			"19817365"
