245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Some constraints on the derivation of existential sentences."			"Patrick, Ralph Wayne,1942-"	"Ph. D."	"University of Washington"		"890614s1972\\\\xx\a\\\\\bm\\\000\0\eng\d"	"228 leaves"			"19867773"
"Tonkawa, Sundanese, and Kasem--some problems in generative phonology."			"Phelps, Elaine Farkas."	"Ph. D."	"University of Washington"		"890612s1973\\\\xx\\\\\\\bm\\\000\0\eng\d"	"2 volumes (323 leaves)"		"http://hdl.handle.net/1773/8386;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:7402226"	"19851657"
"The verb d̲o̲."			"Phelps, Maurine Ann."	"Ph. D."	"University of Washington"		"890612s1977\\\\xx\\\\\\\bm\\\000\0\eng\d"	"173 leaves"			"19851593"
"The progressive in English."			"Phelps, Maurine Anne."	"M.A."	"University of Washington"		"890612s1971\\\\xx\\\\\\\bm\\\000\0\eng\d"	"75 leaves"			"19851611"
"A phonemic reconstruction of proto-Yukaghiric and its comparison with Uralic."			"Power, Charlotte Palo."	"M.A."	"University of Washington"		"890612s1968\\\\xx\a\\\\\bm\\\000\0\eng\d"	"93 leaves"			"19851561"
"Animacy and word order in early child language."			"Quist, Linda Gail."	"M.A."	"University of Washington"		"890612s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"39 leaves"			"19851505"
"Coordinate conjunction in English."			"Rojas, Sheila Nelson."	"M.A."	"University of Washington"		"890612s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"49 unnumbered leaves"			"19851726"
"Competing diachronic influences on the Pashto sound system."			"Sabaoun, Zaman Stanizai."	"M.A."	"University of Washington"		"890503s1977\\\\xx\\\\\\\bm\\\000\0\eng\d"	"74 leaves"			"19648435"
"The derivation of clitic pronouns in Romanian."			"Schwalb, Ingrid."	"M.A."	"University of Washington"		"890503s1973\\\\xx\\\\\\\m\\\\000\0\eng\d"	"50 [1] leaf"			"19648353"
"Phonological redundancy rules in Coeur d'Alene."			"Sloat, Clarence,1936-"	"Ph. D."	"University of Washington"		"901106s1966\\\\xx\a\\\\\mt\\\000\0\eng\d"	"191 leaves"		"http://hdl.handle.net/1773/8435"	"22639803"
"Cuzco Quechua phonology."			"Smyth, Donald Lewis."	"M.A."	"University of Washington"		"890510s1967\\\\xx\\\\\\\m\\\\000\0\eng\d"	"44 leaves"			"19688682"
"Some phonological rules in the Polynesian languages."			"St. Clair, Robert N."	"M.A."	"University of Washington"		"890516s1967\\\\xx\\\\\\\bm\\\000\0\eng\d"	"48 leaves"			"19714244"
"Linguistics as a key to the teaching of German."			"Strasheim, Dwayne Sidney."	"M.A."	"University of Washington"		"890623s1965\\\\xx\\\\\\\bm\\\000\0\eng\d"	"54 leaves"			"19915148"
