245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"State taxation of financial institutions /"		"by Harold Harward."	"Harward, Harold,author."	"M.B.A."	"University of Washington"	"1928."	"191114s1928\\\\wau\\\\\obm\\\000\0\eng\d"	"1 online resource (46 pages)"	"Dakan, Carl S.(Spencer)1880-1949,degree supervisor."	"http://hdl.handle.net/1773/44617"	"1127642680"
"State taxation of financial institutions ..."			"Harward, Harold."	"M.B.A."	"University of Washington"		"890705s1928\\\\xx\a\\\\\bm\\\000\0\eng\d"	"46 leaves"	"Dakan, Carl S.(Spencer),1880-1949,degree supervisor."		"19961561"
"Branch banking in the United States."			"Hines, George Washington."				"960719s1924\\\\xx\\\\\\\bm\\\000\0\eng\d"	"86 leaves"			"35112192"
"The taxation of the financial institutions in the United States with special reference to the Pacific Coast states."			"Ho, I. Chao."	"M.A."	"University of Washington"		"890623s1931\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 161 leaves"			"19915679"
"The treatment of no-par value in accounting practice."			"Holmes, George Glenn."				"961021s1926\\\\xx\\\\\\\bm\\\000\0\eng\d"	"96 leaves"			"35769660"
"The relation of life insurance to the income estate and inheritance taxes ..."			"Jacobs, George Martin."				"961003s1924\\\\xx\a\\\\\bm\\\000\0\eng\d"	"38 leaves"			"35679511"
"Community advertising in the Pacific Northwest ..."			"John, Sarah Helen."	"M.B.A."	"University of Washington"		"890728s1926\\\\xx\\\\\\\bm\\\000\0\eng\d"	"97 leaves"			"20082129"
"Financing public libraries in the United States ..."			"Johns, Loeta Lois,1904-"	"M.A."	"University of Washington"		"890613s1930\\\\xx\a\\\\\bm\\\000\0\eng\d"	"98 leaves"			"19860446"
"Accumulation and uses of accounting data ..."			"Johnson, Verner Wilhelm."	"M.B.A."	"University of Washington"		"890727s1928\\\\xx\a\\\\\bm\\\000\0\eng\d"	"81 leaves"			"20078084"
"The economic problems involved in the flotation of foreign loans in the United States."			"Kelley, Curtis."	"M.B.A."	"University of Washington"		"890728s1927\\\\xx\\\\\\\bm\\\000\0\eng\d"	"95 [3] leaves"			"20082249"
"A method for teaching typewriting ..."			"Knies, Winfield Le Roy."	"M.B.A."	"University of Washington"		"890601s1929\\\\xx\\\\\\\bm\\\000\0\eng\d"	"57 leaves"			"19792812"
