245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Real-time measurement of flexural rigidity in fire-impacted composite plates /"		"by Glenn A. Ritter."	"Ritter, Glenn A."	"M.S.M.E."	"University of Washington"	"1992"	"930302s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 112 leaves :"			"27654723"
"A combined experimental analytical methodology for characterizing the thermoviscoplastic deformation of a metal matrix composite /"		"by John R. Rogacki."	"Rogacki, John R."	"Ph. D."	"University of Washington"	"1992"	"930222s1992\\\\xx\a\\\\\bmt\\000\0\eng\d"	"xix, 224 leaves :"		"http://hdl.handle.net/1773/7083"	"27479234"
"An analysis method for the prediction of thermal warpage in advanced composite, stiffened panels /"		"by Peter L. Rupp."	"Rupp, Peter L."	"M.S.M.E."	"University of Washington"	"1992"	"921218s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 97 leaves :"			"27142936"
"A numerical prediction of flexural rigidity of fire impacted composite laminate materials /"		"by Mark Gregory Shofner."	"Shofner, Mark Gregory."	"M.S.M.E."	"University of Washington"	"1993"	"940303s1993\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 63, [1] leaves :"			"29902871"
"Scheduling a chemical processing tank line /"		"by Wenwei Song."	"Song, Wenwei."	"Ph. D."	"University of Washington"	"1992"	"921218s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 226 leaves :"			"27142768"
"Bioluminescence estimation using explicit and implicit algorithms /"		"by Zheng Tao."	"Tao, Zheng."	"M.S.M.E."	"University of Washington"	"1992"	"930706s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 106 leaves :"			"28385001"
"Laboratory simulation of the effects of long residence time on soot formation /"		"by Michael Starr Tarner."	"Tarner, Michael Starr."	"M.S.M.E."	"University of Washington"	"1992"	"930317s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 56 leaves :"			"27751063"
"Optimal sensor placement, active vibration suppression and the minimum control authority for flexible space structures /"		"by Emerson Cua Tongco."	"Tongco, Emerson Cua."	"M.S.M.E."	"University of Washington"	"1993"	"940607s1993\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 105 leaves :"			"30568272"
"Construction of a seven station lever arm creep frame and characterization of IM7/5260 graphite-bismaleimide composite /"		"by Patrick M. Van Duser."	"Van Duser, Patrick M."	"M.S.M.E."	"University of Washington"	"1992"	"930310s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 143 leaves :"			"27703925"
"System dynamics structural optimization for process re-design /"		"by Patrick Vye."	"Vye, Patrick D."	"Ph. D."	"University of Washington"	"1993"	"940225s1993\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 212 leaves (1 folded) :"			"29875060"
