245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"LIFEBUILDINGX life building exchange :"	"investigating the intersection of pro-environmental behavior, place meaning, and high-performance design /"	"Julia Ann Kriegh."	"Kriegh, Julia Ann,author."	"Ph. D."	"University of Washington"	"2018."	"190130t20182018waua\\\\obm\\s000\0\eng\d"	"1 online resource (xv, 262 pages) :"	"Manzo, Lynne,degree supervisor.http://www.wikidata.org/entity/Q104587422"	"http://hdl.handle.net/1773/42988"	"1083643485"
"A framework for developing new visualization schemes for construction project performance monitoring /"		"Nam Hun Lee."	"Lee, Nam Hun."	"Ph. D."	"University of Washington"	"2009"	"100106s2009\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 200 leaves :"			"496019538"
"Use of wearable sensors to unveil roles of task demands-personal resources and burnout on performance of construction workers /"		"Wonil Lee."	"Lee, Wonil,author."	"Ph. D."	"University of Washington"	"2018."	"190130t20182018waua\\\\obm\\s000\0\eng\d"	"1 online resource (239 pages) :"	"Lin, Ken-Yu,1975-degree supervisor.http://www.wikidata.org/entity/Q90004643;Migliaccio, Giovanni C.(Giovanni Ciro),1968-degree supervisor."	"http://hdl.handle.net/1773/42987"	"1083643600"
"Revealing wastewater ecologies :"	"a combined sewer overflow strategy and treatment facility design for Seattle's Georgetown neighborhood /"	"Jordan Lewis."	"Lewis, Jordan,1986-author."	"M. Arch.;M. Landsc. Arch."	"University of Washington;University of Washington"	"2015;2015"	"151216t20152015waua\\\\obm\\s000\0\eng\d"	"1 online resource (64 pages) :"	"Hou, Jeffrey,1967-degree supervisor.http://www.wikidata.org/entity/Q100725739"	"http://hdl.handle.net/1773/33623"	"932351373"
"The dynamics and resilience of river cities as coupled human-natural systems /"		"Kuei-Hsien Liao."	"Liao, Kuei-Hsien."	"Ph. D."	"University of Washington"	"2012"	"130129s2012\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource (123 pages) :"	"Mugerauer, Robert,degree supervisor.http://www.wikidata.org/entity/Q101210396"	"http://hdl.handle.net/1773/20882"	"825818342"
"Computing long-term daylighting simulations from high dynamic range imagery using deep neural networks /"		"Yue Liu."	"Liu, Yue,author."	"Ph. D."	"University of Washington"	"2019."	"190906t20192019waua\\\\obm\\s000\0\eng\d"	"1 online resource (xviii, 153 pages) :"	"Inanici, Mehlika,degree supervisor."	"http://hdl.handle.net/1773/44075"	"1117509308"
"A feasibility analysis of parcel B-4-24 development project in Huaihua City, China /"		"Xinyi Lu."	"Lu, Xinyi,author."	"M. Urban Plan."	"University of Washington"	"2016"	"170405t20162016wauab\\\obm\\s000\0\eng\d"	"1 online resource (iv, 88 pages) :"	"Rolfe, George,degree supervisor."	"http://hdl.handle.net/1773/38078"	"981489531"
"Multi-ethnic third place :"	"community garden center in Wilshire neighborhood of Los Angeles /"	"Hiroko Matsuno."	"Matsuno, Hiroko."	"M. Arch."	"University of Washington"	"2012"	"121015s2012\\\\xx\ab\\\obm\\\000\0\eng\d"	"1 online resource (29 pages) :"	"Nicholls, Jim,1958-thesis advisor."	"http://hdl.handle.net/1773/20298;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:1508759"	"812925114"
"Cyborg love, Critical Mass and possibility :"	"enacting the right to the city /"	"Joshua James Miller."	"Miller, Joshua James."	"Ph. D."	"University of Washington"	"2010"	"110509s2010\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 215 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3431660"	"721330128"
"Immigrant's sense of belonging to Chinatown-International District, the changing neighborhood /"		"Arisa Nakamura."	"Nakamura, Arisa,author."	"Master's"	"University of Washington"	"2016"	"160810t20162016waua\\\\obm\\s000\0\eng\d"	"1 online resource (52 pages) :"	"Hou, Jeffrey,1967-degree supervisor.http://www.wikidata.org/entity/Q100725739;Manzo, Lynne,degree supervisor.http://www.wikidata.org/entity/Q104587422"	"http://hdl.handle.net/1773/36510"	"956463524"
"Re-locating modernism :"	"Chandigarh, Le Corbusier and the global postcolonial /"	"Ashish Nangia."	"Nangia, Ashish."	"Ph. D."	"University of Washington"	"2008"	"090127s2008\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 260 leaves :"			"299844336"
"Assessing the technology used by UAVs in data acquisition on construction sites /"		"Eric Opincar."	"Opincar, Eric,author."	"M.S.C.M."	"University of Washington"	"2017"	"170531t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (vii, 79 pages) :"	"Dossick, Carrie Sturts,1973-degree supervisor.http://www.wikidata.org/entity/Q99439465"	"http://hdl.handle.net/1773/38588"	"988540666"
"CPM schedule density :"	"a new predictor for productivity loss /"	"Jeffery L. Ottesen."	"Ottesen, Jeffery L.,author."	"Ph. D."	"University of Washington"	"2019."	"190906t20192019waua\\\\obm\\s000\0\eng\d"	"1 online resource (197 pages) :"	"Migliaccio, Giovanni C.(Giovanni Ciro),1968-degree supervisor."	"http://hdl.handle.net/1773/44070"	"1117509289"
"The architecture of the poetic image :"	"the visible and the invisible in the sacred architecture of Sigurd Lew[e]rentz /"	"Paula Anne Patterson."	"Patterson, Paula Anne."	"Ph. D."	"University of Washington"	"2009"	"100324s2009\\\\xx\ab\\\\bm\\\000\0\eng\d"	"x, 222 pages :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3377329"	"568727574"
"A community-based grassroots organization in the South Bronx as a catalyst for youth organizing and activism :"	"analyzing the dynamics of a transformative youth program /"	"Julie Anne Paul Poncelet."	"Poncelet, Julie Anne Paul,author."	"Ph. D."	"University of Washington"	"2013."	"140626t20132013wauab\\\obm\\s000\0\eng\d"	"1 online resource (viii, 275 pages) :"	"Sutton, Sharon E.,1941-degree supervisor."	"http://hdl.handle.net/1773/24981"	"881829706"
"Tracing the ethos of the Sino-Burmese in the urban fabric of Yangon, Burma (Myanmar) /"		"Jayde Lin Roberts."	"Roberts, Jayde Lin."	"Ph. D."	"University of Washington"	"2011"	"120227s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xii, 213 pages :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3485503"	"778386963"
"Embodied carbon of heating, ventilation, air conditioning and refrigerants (HVAC+R) systems /"		"Barbara X. Rodriguez Droguett."	"Rodriguez, Barbara X.,author."	"Ph. D."	"University of Washington"	"2019."	"191125t20192019waua\\\\obm\\s000\0\eng\d"	"1 online resource (xi, 121, 14 pages) :"	"Alberti, M.(Marina),degree supervisor."	"http://hdl.handle.net/1773/44736"	"1128832802"
"A fragmented memory project :"	"archaeological and ethnographic museums in Turkey, 1960-1980 /"	"F. Özge Sade Mete."	"Sade Mete, F. Özge,1979-author."	"Ph. D."	"University of Washington"	"2012"	"130723s2012\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource (xii, 222 pages) :"	"McLaren, Brian,thesis advisor."	"http://hdl.handle.net/1773/21764"	"853577755"
"Processes of everyday resilience :"	"the reassembling of informal vending in urban spaces of Malang, Indonesia /"	"Adnya Sarasmita."	"Sarasmita, Adnya,author."	"Ph. D."	"University of Washington"	"2019."	"200218t20192019waua\\\\obm\\s000\0\eng\d"	"1 online resource (x, 222 pages) :"	"Mugerauer, Robert,degree supervisor.http://www.wikidata.org/entity/Q101210396;Hou, Jeffrey,1967-degree supervisor.http://www.wikidata.org/entity/Q100725739"	"http://hdl.handle.net/1773/45126"	"1140980225"
"Achieving public agency goals in public-private partnerships using innovative payment mechanisms /"		"Luming Shang."	"Shang, Luming,author."	"Ph. D."	"University of Washington"	"2019."	"190906t20192019waua\\\\obm\\s000\0\eng\d"	"1 online resource (viii, 166 page) :"	"Abdel Aziz, Ahmed M.,degree supervisor."	"http://hdl.handle.net/1773/44076"	"1117509447"
"An integrated model of evolution of project teams in large-scale construction projects /"		"JeongWook Son."	"Son, JeongWook."	"Ph. D."	"University of Washington"	"2011"	"120118s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 135 pages :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3472312"	"773212882"
"Expressive structure :"	"the life and work of Matthew Nowicki /"	"Tyler S. Sprague."	"Sprague, Tyler S.,author."	"Ph. D."	"University of Washington"	"2013"	"140408s2013\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource (431 pages) :"	"Anderson, Alex Thomas,degree supervisor."	"http://hdl.handle.net/1773/22790;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3563097"	"876081288"
"Role of light in real and pictorial spaces :"	"a computational framework to investigate scene-based luminance distributions and their impact on depth perception /"	"Nan-Ching Tai."	"Tai, Nan-Ching."	"Ph. D."	"University of Washington"	"2010"	"110314s2010\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 125 pages :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3421987"	"707100547"
"Becoming an architect :"	"narratives of architectural education /"	"James Thompson."	"Thompson, James,1983-author."	"Ph. D."	"University of Washington"	"2016"	"170405t20162016waua\\\\obm\\s000\0\eng\d"	"1 online resource (xiv, 339 pages) :"	"Anderson, Alex Thomas,degree supervisor."	"http://hdl.handle.net/1773/38079"	"981488768"
"Instance cities :"	"an infrastructure of hope for Berlin's refugee populations /"	"Stephen Nicholas Trigueiro."	"Trigueiro, Stephen Nicholas,author."	"M. Arch."	"University of Washington"	"2017"	"170918t20172016wauab\\\obm\\s000\0\eng\d"	"1 online resource (83 pages) :"	"Huber, Nicole,degree supervisor."	"http://hdl.handle.net/1773/39966"	"1004241095"
"Neighborhood networks and the decision-making processes in a distressed social-built environment :"	"a case study in Lake City (Seattle), Washington /"	"Amber L. Trout."	"Trout, Amber L.,author."	"Ph. D."	"University of Washington"	"2014"	"141217t20142014wauab\\\obm\\s000\0\eng\d"	"1 online resource (xi, 207 pages) :"	"Mugerauer, Robert,degree supervisor.http://www.wikidata.org/entity/Q101210396"	"http://hdl.handle.net/1773/26241"	"898225061"
"Evaluating human visual preference and performance in an office environment using luminance-based metrics /"		"Kevin G. Van Den Wymelenberg."	"Van Den Wymelenberg, Kevin G.,author."	"Ph. D."	"University of Washington"	"2012"	"130723s2012\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource (xiv, 328 pages) :"	"Inanici, Mehlika,degree supervisor."	"http://hdl.handle.net/1773/21765;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3542227"	"853577757"
"Environmental change and built environments in the marine nearshore :"	"a comparative analysis of the development of three large-scale marinas in Seattle, Washington from 1950-2007 /"	"A. Meriwether Wilson."	"Wilson, Meriwether."	"Ph. D."	"University of Washington"	"2009"	"101006s2009\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xi, 405 leaves :"			"668463274"
"Cultural resilience in Asia :"	"a comparative study of heritage conservation in Lijiang and Bagan /"	"Chiao-Yen Yang."	"Yang, Chiao-Yen,author."	"Ph. D."	"University of Washington"	"2014"	"141219t20142014wauab\\\obm\\s000\0\eng\d"	"1 online resource (294 pages) :"	"Mugerauer, Robert,degree supervisor.http://www.wikidata.org/entity/Q101210396"	"http://hdl.handle.net/1773/26240"	"898362638"
"Building watershed narratives :"	"two case studies of urban streams in Seattle, Washington /"	"Kenneth Yocom."	"Yocom, Kenneth(Kenneth Peter),1973-"	"Ph. D."	"University of Washington"	"2007"	"081008s2007\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 180 leaves :"		"http://hdl.handle.net/1773/8189;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3252907"	"261228947"
