245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Designing radiation therapy for cancer :"	"an approach to knowledge-based optimization /"	"by Witold Paluszyński."	"Paluszyński, Witold,1958-"	"Ph. D."	"University of Washington"	"1990"	"901011s1990\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 204 leaves :"			"22499569"
"Predicting deterministic execution times of real-time programs /"		"by Chang Yun Park."	"Park, Chang Yun."	"Ph. D."	"University of Washington"	"1992"	"930211s1992\\\\xx\a\\\\\bmt\\000\0\eng\d"	"xiii, 155 pages :"		"http://hdl.handle.net/1773/6978"	"27417869"
"Planning with continuous change /"		"by J. Scott Penberthy."	"Penberthy, J. Scott."	"Ph. D."	"University of Washington"	"1993"	"940603s1993\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x, 221 pages :"			"30543042"
"Composition and reuse in object-oriented languages /"		"by Rajendra Krishna Raj."	"Raj, Rajendra Krishna."	"Ph. D."	"University of Washington"	"1991"	"911003s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 125 pages :"			"24495056"
"Dynamic network management using the Simple Network Management Protocol (SNMP) /"		"by Walter C. Reissig."	"Reissig, Walter C."	"M.S."	"University of Washington"	"1990"	"910516s1990\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 150 leaves :"			"23754881"
"Integrating existing Unix tools /"		"by Richard Schulte."	"Schulte, Richard."	"M.S."	"University of Washington"	"1991"	"920211s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 48 leaves :"			"25260359"
"Implementations and variations of a maximum-flow algorithm /"		"by João C. Setubal."	"Setubal, João C.(João Carlos),1957-"	"Ph. D."	"University of Washington"	"1992"	"930701s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 132 leaves :"			"28368165"
"The correspondence problem :"	"reconstruction of objects from contours in parallel sections /"	"by Shelley Marie Skinner."	"Skinner, Shelley Marie."	"M.S."	"University of Washington"	"1991"	"911008s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x, 146 leaves :"			"24515406"
"Supporting fine-grain computation on distributed memory parallel computers /"		"by David Grimes Socha."	"Socha, David Grimes,1959-"	"Ph. D."	"University of Washington"	"1991"	"920106s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xiii, 190 pages :"			"25054461"
"Issues in shared-memory multiprocessor scheduling :"	"a performance evaluation /"	"by Mark S. Squillante."	"Squillante, Mark S."	"Ph. D."	"University of Washington"	"1990"	"910701s1990\\\\xx\a\\\\\bmt\\000\0\eng\d"	"ix, 154 leaves :"		"http://hdl.handle.net/1773/6858;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9109829"	"24015685"
"Network protocols for non-FIFO channels /"		"by Ewan David Tempero."	"Tempero, Ewan David,1961-"	"Ph. D."	"University of Washington"	"1990"	"910812s1990\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 157 leaves :"			"24224499"
"Parallel simulation of Petri nets /"		"by Gregory Scott Thomas."	"Thomas, Gregory Scott."	"M.S."	"University of Washington"	"1991"	"911211s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x, 79 pages :"			"24934458"
"Visualizing dose distributions and anatomy in three-dimensional radiation treatment planning /"		"by Jonathan M. Unger."	"Unger, Jonathan M."	"M.S."	"University of Washington"	"1992"	"930309s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 141 leaves :"			"27697753"
"Conservative parallel discrete-event simulation :"	"principles and practice /"	"by David Barry Wagner."	"Wagner, David Barry."	"Ph. D."	"University of Washington"	"1989"	"900515s1989\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xi, 157 leaves :"			"21541736"
"Multilevel cache hierarchies /"		"by Wen-Hann Wang."	"Wang, Wen-Hann,1959-"	"Ph. D."	"University of Washington"	"1989"	"900726s1989\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x, 134 leaves :"			"22146636"
"An online anatomy reference system for radiation treatment planning /"		"by Eric Weber."	"Weber, Eric."	"M.S."	"University of Washington"	"1992"	"930715s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 36 leaves :"			"28454041"
