245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Bénard convection with strongly temperature-dependent viscosity /"		"by Dean Stuart Oliver."	"Oliver, Dean Stuart."	"Ph. D."	"University of Washington"	"1980"	"810106s1980\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 149 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:8109757"	"7048147"
"Temporal variations of gravity in northwest Montana near Lake Koocanusa /"		"by Robert Thomas O'Malley."	"O'Malley, Robert Thomas."	"M.S."	"University of Washington"	"1981"	"811211s1981\\\\xx\ab\\\\bm\\\000\0\eng\d"	"iv, 83 leaves :"			"7988740"
"Progressive inversion /"		"by Gary Lee Pavlis."	"Pavlis, Gary Lee."	"Ph. D."	"University of Washington"	"1982"	"820519s1982\\\\xx\af\\\\bmt\\000\0\eng\d"	"xiii, 295 leaves, 22 unnumbered leaves of plates :"		"http://hdl.handle.net/1773/6831;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:8218260"	"8441910"
"Seismic and tectonic study of a region in the Cascades west of Mt. Rainier /"		"by David Arthur Peckham."	"Peckham, David Arthur."	"M.S."	"University of Washington"	"1982"	"820519s1982\\\\xx\abf\\\bm\\\000\0\eng\d"	"v, 82 leaves, 4 unnumbered leaves of plates :"			"8441920"
"The optical properties of young sea ice /"		"by Donald K. Perovich."	"Perovich, Donald K."	"M.S."	"University of Washington"		"791005s1979\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x, 151 leaves :"			"5472472"
"Hypocenter location and crustal structure inversion of seismic array travel-times."			"Peters, David Cornelius."	"Ph. D."	"University of Washington"		"890615s1973\\\\xx\a\\\\\bm\\\000\0\eng\d"	"126 leaves"			"19871897"
"Studies of the light scattering characteristics of background aerosol and associated climatic implications."			"Porch, William Morgan."	"Ph. D."	"University of Washington"		"890615s1972\\\\xx\a\\\\\bm\\\000\0\eng\d"	"106 leaves"			"19871888"
"The role of tidal deformation in the origin of the lunar grid system."			"Raish, Dan Lee."	"M.S."	"University of Washington"		"890512s1969\\\\xx\a\\\\\bm\\\000\0\eng\d"	"44 leaves"			"19696906"
"Pressure ridge generated internal wave wakes at the base of the mixed layer in the Arctic Ocean."			"Rigby, Fred Alan."	"M.S."	"University of Washington"		"890615s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"35 leaves"			"19871881"
"The Hawaii earthquake of November 29, 1975 :"	"focal mechanisms of associated events /"	"by David Bruce Rogers."	"Rogers, David Bruce."	"M.S."	"University of Washington"		"890518s1978\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 77 leaves :"			"19730078"
