245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Radioautography of plant tissues using tritium labeled lignin precursors."			"Saleh, Tharwat Mahmoud,1938-"	"Ph. D."	"University of Washington"		"890601s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"88 leaves"			"19792730"
"Growth comparisons of Douglas fir and western white pine."			"Small, Christopher Stanley."	"M.F."	"University of Washington"		"901108s1965\\\\xx\a\\\\\bm\\\000\0\eng\d"	"93 leaves"			"22653733"
"A method of stand structure analysis by angle cruising in second growth Douglas-fir."			"Steen, Harold K."	"M.F."	"University of Washington"		"800619s1962\\\\waua\\\\\bm\\\000\0\eng\d"	"49 ł."			"6439418"
"An evaluation of multiple-use practices on forested municipal catchments of the Douglas-fir region."			"Teller, Hans Leo,1931-"	"Ph. D."	"University of Washington"		"890707s1963\\\\xx\a\\\\\bm\\\000\0\eng\d"	"316 leaves"			"19978280"
"A comparison of certain silvical characteristics of lodgepole pine and Douglas fir."			"Thompson, Christopher Frank."	"M.F."	"University of Washington"		"810625s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"83 leaves"			"7529819"
"Cenococcum graniforme--its distribution, ecology, mycorrhiza formation, and inherent variation."			"Trappe, James M."	"Ph. D."	"University of Washington"		"890721s1962\\\\xx\ab\\\\bm\\\000\0\eng\d"	"147 leaves"		"http://hdl.handle.net/1773/5550;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:6206617"	"20050012"
"Population dynamics in mixed forest stands."	"A system of mathematical models of mixed stand growth and structure."		"Turnbull, Kenneth James,1927-"	"Ph. D."	"University of Washington"		"890707s1963\\\\xx\a\\\\\bm\\\000\0\eng\d"	"186 leaves"			"19978234"
"An application of terrestrial photogrammetry in forestry."			"Van Roessel, Jan Willem."	"M.F."	"University of Washington"		"890724s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"134 leaves"			"20059976"
"An economic evaluation of the softwood lumber industry in the Pacific Northwest."			"Waggener, Thomas R.(Thomas Runyan),1933-"	"M.F."	"University of Washington"		"890707s1963\\\\xx\a\\\\\bm\\\000\0\eng\d"	"112 leaves"			"19978305"
"The federal land grant endowments:"	"a problem in forest resource management."		"Waggener, Thomas R.(Thomas Runyan),1933-"	"Ph. D."	"University of Washington"		"810701s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"245 leaves"			"7544715"
"Effect of natural root grafting on diameter growth of Douglas-fir (Pseudotsuga menziesii)."			"Walters, Merrill Dean."	"M.F."	"University of Washington"		"890724s1963\\\\xx\ab\\\\bm\\\000\0\eng\d"	"74 leaves"			"20059834"
"Uniform shelterwood system"	"a suitable technique for second growth management of Douglas-fir."		"Wick, Herbert L.(Herbert Louis)"	"M.F."	"University of Washington"		"890707s1965\\\\xx\a\\\\\bm\\\000\0\eng\d"	"96 leaves"			"19978385"
"Methods of selection in juvenile populations of Douglas-fir (Pseudotsuga menziesii (Mirb.) Franco.) of known parentage."			"Wilson, Boyd C."	"M.S. in F."	"University of Washington"		"890707s1962\\\\xx\a\\\\\bm\\\000\0\eng\d"	"73 leaves"			"19978013"
"The effect of superheated-steam seasoning on the properties of white fir."			"Wilson, David Fay."	"M.F."	"University of Washington"		"890707s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"85 leaves"			"19978436"
"A study of the mechanical and anatomical aspects of shear failure in Douglas fir,"		"by Richard Oliver Woodfin, Jr."	"Woodfin, Richard O."	"M.F."	"University of Washington"		"890707s1962\\\\xx\a\\\\\bm\\\000\0\eng\d"	"80 leaves"			"19978193"
"The use of analysis of covariance in experiments with forest growth."			"Yang, Yong-chi."	"M.F."	"University of Washington"		"810708s1966\\\\xx\a\\\\\bms\\000\0\eng\d"	"92 leaves"			"7565644"
"The tenacity of value commitment:"	"the Forest Service and the Olympic National Park."		"Twight, Ben W.,1933-"	"Ph. D."	"University of Washington"		"810902s1971\\\\xx\a\\\\\bmt\\000\0\eng\d"	"189, [1] leaf"		"http://hdl.handle.net/1773/5597;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:7215154"	"7722120"
"A study of the effect of pruning on the longitudinal distribution of radial growth in Douglas-fir."			"Underwood, R. J."	"M.F."	"University of Washington"		"810701s1967\\\\xx\a\\\\\bm\\\000\0\eng\d"	"111 leaves"			"7544942"
"The role of forests, fisheries, and wildlife in Kenya's economic future."			"Wachiira, R. Kamoji."	"M.S.F."	"University of Washington"		"810702s1969\\\\xx\a\\\\\bm\\\000\0\eng\d"	"58 leaves"			"7548060"
"An economic model for optimizing the rate of timber harvesting."			"Walker, John Lawrence,1940-"	"Ph. D."	"University of Washington"		"890821s1971\\\\xx\a\\\\\bm\\\000\0\eng\d"	"117 leaves"			"20223339"
"Effects of processing machinery on pulp fiber morphology."			"Wick, Gary Richard."	"M.S.F."	"University of Washington"		"810702s1969\\\\xx\a\\\\\bm\\\000\0\eng\d"	"102 leaves"			"7547921"
"The design of polymers for the sustained release of selected herbicides."			"Wilkins, Richard Michael John,1942-"	"M.S.F."	"University of Washington"		"810625s1969\\\\xx\a\\\\\bm\\\000\0\eng\d"	"51 leaves"			"7531765"
"Volatile organic compounds in kraft pulping."			"Wilson, Donald Frederick."	"M.S."	"University of Washington"		"810626s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"38 leaves"			"7534150"
"Dynamics of phosphorus, silicon, iron and aluminum movement in gravitational rainwater in a Douglas-fir ecosystem."			"Windsor, Geoffrey James,1939-"	"Ph. D."	"University of Washington"		"810629s1969\\\\xx\a\\\\\bm\\\000\0\eng\d"	"188 leaves"			"7538208"
"The relationship of net photsynthesis to environment within the crown of a large Douglas-fir tree."			"Woodman, James Nelson,1936-"	"Ph. D."	"University of Washington"		"810709s1968\\\\xx\a\\\\\bm\\\000\0\eng\d"	"187 leaves"			"7568565"
"Monoterpenes in Douglas fir Pseudotsuga menziesii (Mirb.) Franco needle oil, wood turpentine and crude sulfate turpentine."			"Cabauatan, Elvira Quintos."	"M.S.F."	"University of Washington"		"810211s1969\\\\waua\\\\\bm\\\000\0\eng\d"	"44 leaves"			"7119099"
"The host selection behavior of Gnathotrichus sulcatus LeConte"	"(Coleoptera:Scolytidae)."		"Cade, Stephen Carroll,1939-"	"Ph. D."	"University of Washington"		"810513s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"111 leaves"			"7415453"
"Behavior of the Sitka-spruce weevil,"	"Pissodes sitchensis Hopkins (Coleoptera:Curculionidae), in Southwestern Washington."		"Carlson, Robert Lawrence,1940-"	"Ph. D."	"University of Washington"		"810505s1971\\\\xx\a\\\\\bm\\\000\0\eng\d"	"76 leaves"			"7392289"
"The chemical characterization of hardwood lignins."			"Casey, John M."	"M.S.F."	"University of Washington"		"810501s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"60 leaves"			"7384370"
"Species variation in wood lignins."			"Chang, Hou-min."	"Ph. D."	"University of Washington"		"810205s1968\\\\waua\\\\\bm\\\000\0\eng\d"	"88 leaves"			"7107086"
"An analysis of evapotranspiration of dry-evergreen forest at Sakaerat, Thailand."			"Chunkao, Kasem,1938-"	"Ph. D."	"University of Washington"		"810909s1971\\\\xx\a\\\\\bm\\\000\0\eng\d"	"110 leaves"			"7747569"
"The inversion climatology of Western Washington during the May-October period with implications for forest burning and air pollution."			"Clarida, Kent Werner."	"M.S."	"University of Washington"		"810316s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"101 leaves"			"7229750"
"Litter control"	"an experimental analysis."		"Clark, Roger Neil,1946-"	"Ph. D."	"University of Washington"		"810316s1971\\\\xx\a\\\\\bm\\\000\0\eng\d"	"114 leaves"			"7229758"
"The effect of plywood core-veneer variables on rolling-shear strength and apparent bond quality."			"Derrington, George Murray."	"M.S.F."	"University of Washington"		"810310s1967\\\\xx\a\\\\\bm\\\000\0\eng\d"	"61 leaves"			"7212842"
"The biomass and nutrient flux in a second growth Douglas-fir ecosystem"	"a study in quantitative ecology."		"Dice, Steven Farnham,1938-"	"Ph. D."	"University of Washington"		"810508s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"165 leaves"			"7404796"
"A vegetation study in the subalpine zone of the Western North Cascades, Washington."			"Douglas, George W.(George Wayne),1938-"	"M.S."	"University of Washington"		"810410s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"293 leaves"			"7326936"
"Dispersion and deposition of spores of Fomes annosus and fluorescent particles into and within a forest canopy."			"Edmonds, Robert L."	"Ph. D."	"University of Washington"		"810331s1971\\\\xx\a\\\\\bm\\\000\0\eng\d"	"170 leaves"			"7289905"
"Natural occurrence and control of Fomes annosus in precommercially thinned stands of western hemlock."			"Edmonds, Robert L."	"M.S.F."	"University of Washington"		"810330s1968\\\\xx\a\\\\\bm\\\000\0\eng\d"	"144 leaves"			"7288146"
"Investigations on the delayed germination of noble fir."			"Edwards, David George Warrilow,1937-"	"Ph. D."	"University of Washington"		"810407s1969\\\\xx\a\\\\\bm\\\000\0\eng\d"	"231 leaves"			"7314916"
"An experimental application of linear programming to plywood production."			"Everett, John Paul."	"M.F."	"University of Washington"		"810407s1967\\\\xx\ad\\\\bm\\\000\0\eng\d"	"66 leaves"			"7314869"
"Pheasant hunters at western Washington regulated hunting areas"	"characteristics, motivations, and opinions."		"Evison, Lee Earl."	"M.S."	"University of Washington"		"810407s1971\\\\xx\a\\\\\bm\\\000\0\eng\d"	"62 leaves"			"7314888"
"The natural addition of nitrogen, potassium, and calcium to a jack pine forest floor."			"Foster, N. W."	"M.S."	"University of Washington"		"810424s1971\\\\xx\a\\\\\bm\\\000\0\eng\d"	"91 leaves"			"7366734"
"Study of the relation between environmental factors and the daily height growth of Douglas fir (Pseudotsuga menziesii (Mirb.) Franco)."			"Fowler, W. B.(William Burgess),1930-"	"Ph. D."	"University of Washington"		"810424s1969\\\\xx\af\\\\bm\\\000\0\eng\d"	"113 leaves"			"7366655"
"A study of conformability of wood pulp fibers."			"Fuller, William Scott."	"M.S.F."	"University of Washington"		"810423s1967\\\\xx\a\\\\\bm\\\000\0\eng\d"	"64 leaves"			"7362177"
"Development of a method for determining the optimum level of forest fire suppression manpower on a seasonal basis."			"Gamache, Adrien Edmond,1941-"	"Ph. D."	"University of Washington"		"810309s1969\\\\xx\a\\\\\bm\\\000\0\eng\d"	"163 leaves :"			"7208275"
"Relations between soil characteristics and plantation growth of Monterey Pine in the Concepcion Zone, Chile."			"Garay-Sandoval, Lorenzo."	"M.F."	"University of Washington"		"810408s1967\\\\xx\a\\\\\bm\\\000\0\eng\d"	"97 leaves"			"7318781"
"A crown closure estimation scale for west coast Douglas fir."			"Gelock, Jerome Anthony."	"M.F."	"University of Washington"		"810305s1967\\\\xx\a\\\\\bm\\\000\0\eng\d"	"71 leaves"			"7195829"
"Interfacial properties of lignosulfonates."			"Halabisky, Donald Denis,1943-"	"Ph. D."	"University of Washington"		"810424s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"100 leaves"			"7366739"
"A description of Douglas-fir reproduction in a simulated shelterwood system"		"by Herbert Leon Hammond, III."	"Hammond, Herbert Leon."	"M.F."	"University of Washington"		"810424s1969\\\\xx\a\\\\\bm\\\000\0\eng\d"	"113 leaves"			"7366668"
"Protection aspects of western hemlock."			"Hart, Dennis Rupert."	"M.F."	"University of Washington"		"810411s1969\\\\xx\\\\\\\bm\\\000\0\eng\d"	"289 leaves"			"7327716"
"Recreation clientele :"	"the attributes of recreationists preferring different management agencies, car campgrounds or wilderness in the Pacific Northwest /"	"John Clare Hendee."	"Hendee, John C."	"Ph. D."	"University of Washington"	"1967"	"810903s1967\\\\xx\ab\\\rbm\\\000\0\eng\d"	"xiv, 244 leaves :"			"7725823"
"Plant water stress and its effect on ecological patterns of behavior in several Pacific northwest conifer species."			"Hinckley, Thomas Metcalf,1944-"		"University of Washington"		"170504s1971\\\\waua\\\\\bm\\\000\0\eng\d"	"xvii, 177, [1] leaves :"			"985530656"
