245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"At the confluence :"	"participatory development, state-society relations, and transboundary water management in the Kura River Basin /"	"Jeanene Mae Mitchell."	"Mitchell, Jeanene Mae,author."	"Ph. D."	"University of Washington"	"2018."	"190215t20182018waua\\\\obm\\s000\0\eng\d"	"1 online resource (xiv, 182 pages)  :"	"Kasaba, Reşat,1954-degree supervisor.;Migdal, Joel S.,degree supervisor."	"http://hdl.handle.net/1773/43114"	"1085911371"
"Coopting the state :"	"the creation and persistence of sectarian political elites in Lebanon, 1860-2005 /"	"Jonathan P. Noble."	"Noble, Jonathan P."	"M.A.I.S."	"University of Washington"	"2007"	"080221s2007\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 116 leaves "			"194832565"
"The self and the state :"	"bureaucracy and the ethics of identity in the twentieth century turkish novel /"	"Elizabeth Nolte."	"Nolte, Elizabeth,author."	"Ph. D."	"University of Washington"	"2017"	"180208t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (iv, 147 pages)"	"Kuru, Selim,degree supervisor."	"http://hdl.handle.net/1773/40655"	"1022284117"
"William Mitchell Ramsay :"	"an intellectual biography /"	"Elliot R. Ohannes."	"Ohannes, Elliot R."	"Ph. D."	"University of Washington"	"2007"	"070927s2007\\\\xx\a\\\\\bm\\\000\0aeng\d"	"vii, 473 leaves :"		"http://hdl.handle.net/1773/10834;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3265391"	"173456727"
"Lawyers on the barricades :"	"the politics of exceptional law in Turkey, 1930-1980 /"	"Joakim Parslow."	"Parslow, Joakim,author."	"Ph. D."	"University of Washington"	"2015"	"150603t20152015wau\\\\\obm\\s000\0\eng\d"	"1 online resource (x, 362 pages)"	"Migdal, Joel S.,degree supervisor."	"http://hdl.handle.net/1773/33219"	"910642469"
"The great transformation :"	"contours of the Sino-Islamic intellectual tradition /"	"Kristian Petersen."	"Petersen, Kristian."	"Ph. D."	"University of Washington"	"2012"	"130129s2012\\\\xx\\\\\\obm\\\000\0\eng\d"	"1 online resource (vii, 268 pages)"	"Walker, Joel Thomas,1968-thesis advisor."	"http://hdl.handle.net/1773/20873"	"825813000"
"Shariʻa in the secular state :"	"evolving perceptions of law and religion in Turkey /"	"Russell Powell."	"Powell, Russell,author."	"Ph. D."	"University of Washington"	"2014"	"150325t20142014waua\\\\obm\\s000\0\eng\d"	"1 online resource (xi, 269 pages) :"	"Lombardi, Clark B.,degree supervisor."	"http://hdl.handle.net/1773/27542"	"905628456"
"Square Kufic calligraphy in modern art, transmission and transformation /"		"Mamoun Sakkal."	"Sakkal, Mamoun,1950-"	"Ph. D."	"University of Washington"	"2010"	"110427s2010\\\\xx\a\\\\\bm\\\000\0\eng\d"	"2 volumes :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3431712"	"715516393"
"The bittersweet taste of the past :"	"reading food in Armenian literature in Turkish /"	"Muge Salmaner."	"Salmaner, Muge,author."	"Ph. D."	"University of Washington"	"2014"	"141215t20142014wau\\\\\obm\\s000\0\eng\d"	"1 online resource (vi, 181 pages)"	"Kuru, Selim S.,degree supervisor."	"http://hdl.handle.net/1773/26239"	"898140617"
"Blue dreams, black disillusions :"	"literary market and modern authorship in the Late Ottoman Empire /"	"Zeynep Seviner."	"Seviner, Zeynep,author."	"Ph. D."	"University of Washington"	"2015"	"160205t20152015wau\\\\\obm\\s000\0\eng\d"	"1 online resource (v, 212 pages)"	"Kuru, Selim S.,degree supervisor."	"http://hdl.handle.net/1773/34090"	"936727998"
"The history of an incident and its lessons :"	"communal violence among Arabs in Israel /"	"Magid Shihade."	"Shihade, Magid."	"Ph. D."	"University of Washington"	"2006"	"070130s2006\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 157 leaves :"		"http://hdl.handle.net/1773/10836;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3224291"	"80816681"
"The sociology of inheritance :"	"privileged parlance & unearned rights /"	"Ahmed E. Souaiaia."	"Souaiaia, Ahmed E."	"Ph. D."	"University of Washington"	"2002"	"021231s2002\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 457 pages :"		"http://hdl.handle.net/1773/10835"	"51289212"
"al-Azdī's Ḥikāyat Abī al Qāsim al-Baghdādī :"	"placing an anomalous text within the literary developments of its time /"	"Mary St. Germain."	"St. Germain, Mary S."	"Ph. D."	"University of Washington"	"2006"	"061115s2006\\\\xx\\\\\\\bm\\\000\0\eng\d"	"v, 447 leaves "	"Azdī, Muḥammad ibn Aḥmad.Ḥikāyat Abī al-Qāsim al-Baghdādī.English."	"http://hdl.handle.net/1773/10839"	"76063474"
"Routes to ethnic resistance :"	"virtual Kurdistan west and the transformation of Kurdish politics in Turkey /"	"Nicole Frances Watts."	"Watts, Nicole Frances."	"Ph. D."	"University of Washington"	"2001"	"020516s2001\\\\xx\ab\\\\bm\\\000\0\eng\d"	"xvi, 248 leaves :"		"http://hdl.handle.net/1773/10842"	"49800926"
"Reproducing Israel /"		"Jacqueline Leigh Wilbert."	"Wilbert, Jacqueline Leigh."	"M.A.I.S."	"University of Washington"	"2006"	"070514s2006\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 48 leaves :"			"126890688"
"Framing Zipporah :"	"early Jewish and Christian memories of Moses' wife /"	"Karen Strand Winslow."	"Winslow, Karen Strand,1952-"	"Ph. D."	"University of Washington"	"2003"	"040203s2003\\\\xx\\\\\\\bm\\\000\0\eng\d"	"v, 468 leaves "			"54348935"
"Courting the court :"	"social visions, state authority, and the religious law conflict in Israel /"	"by Patricia J. Woods."	"Woods, Patricia J.,1967-"	"Ph. D."	"University of Washington"	"2001"	"020206s2001\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 299 leaves "		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3022910"	"48950155"
