245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"An evaluation of King County's farmland preservation program :"	"what motivated landowners to participate?, how do they feel about the program now? /"	"by Deborah Ritter."	"Ritter, Deborah(Deborah A.),1955-"	"M. Landsc. Arch."	"University of Washington"	"1995"	"960322s1995\\\\xx\ab\\\\bm\\\000\0\eng\d"	"vi, 119 leaves :"			"34435674"
"Traditions in translation :"	"the gardens of Fujitaro Kubota /"	"by Thomas M. Robinson."	"Robinson, Thomas M."	"M. Landsc. Arch."	"University of Washington"	"1992"	"921217s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 166 leaves :"			"27137611"
"The landscape art of Richard Haag :"	"roots and intentions /"	"by John Rozdilsky."	"Rozdilsky, John."	"M. Landsc. Arch."	"University of Washington"	"1991"	"920624s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 160 leaves (some folded) :"			"26080311"
"Where will people walk? :"	"pedestrian use and network connectivity in Wallingford in Seattle, and Crossroads in Bellevue, Washington /"	"by David Bruce Saxen."	"Saxen, David Bruce."	"M. Landsc. Arch."	"University of Washington"	"1994"	"950801s1994\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 145 leaves :"			"32904498"
"False Creek, British Columbia :"	"children's use of open space in a planned community /"	"by Nancy Elizabeth Schremp."	"Schremp, Nancy Elizabeth."	"M. Landsc. Arch."	"University of Washington"	"1986"	"860311s1986\\\\xx\ab\\\\bm\\\000\0\eng\d"	"88 leaves :"			"13281719"
"Dialectic in landscape literature, art, and gardens /"		"by Robert Scully."	"Scully, Robert."	"M. Landsc. Arch."	"University of Washington"	"1988"	"890407s1988\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 231 leaves "			"19508939"
"Pedestrians in resort communities :"	"investigating designed levels of pedestrian orientation /"	"by Robert Andrew Strain."	"Strain, Robert Andrew."	"M. Landsc. Arch."	"University of Washington"	"1985"	"850715s1985\\\\xx\ab\\\\bm\\\000\0\eng\d"	"110 leaves :"			"12265048"
"Index of vegetative quality :"	"a new tool for locating and prioritizing sites for watershed restoration /"	"by Sandra Strieby."	"Strieby, Sandra."	"M. Landsc. Arch."	"University of Washington"	"1994"	"950119s1994\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 167 leaves :"			"31855644"
"Barbara Fealy /"		"by Katherine Ann Supplee."	"Supplee, Katherine Ann."	"M. Landsc. Arch."	"University of Washington"	"1993"	"930922s1993\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 143 leaves :"	"Fealy, Barbara,1903-2000."		"28874460"
"Differential perceptual responses to created versus natural wetlands /"		"by Terri Ann Taylor."	"Taylor, Terri Ann."	"M. Landsc. Arch."	"University of Washington"	"1989"	"900215s1989\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 169 leaves :"			"21070644"
"Market values of views :"	"a study of view property in the Puget Sound area /"	"by Burnell Thorley."	"Thorley, Burnell."	"M. Landsc. Arch."	"University of Washington"	"1987"	"871214s1987\\\\xx\ab\\\\bm\\\000\0\eng\d"	"v, 91 leaves :"			"17238251"
