245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Comic fiction in Japan during the later Edo period /"		"by Sumie Amikura Jones."	"Jones, Sumie Amikura."		"University of Washington"		"791004s1979\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 172 leaves "		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:7927813"	"5465429"
"Romantic elements in Chinese poetry,"	"a comparative study of Chinese and romantic poets ..."		"Jung, Angela Chih-Ying."	"M.A."	"University of Washington"		"890607s1949\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 147 leaves"			"19828182"
"Piety and impiety :"	"two opposite attitudes toward poetic language /"	"by Bohyun Kim."	"Kim, Bohyun,1949-"	"Ph. D."	"University of Washington"	"1989"	"900116s1989\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 267 leaves "			"20906406"
"The journeys of Odysseus and Gulliver"	"a comparison."		"Kim, Joung Sook."	"Ph. D."	"University of Washington"		"890512s1975\\\\xx\\\\\\\bm\\\000\0\eng\d"	"169 leaves"			"19696719"
"""Pomo-pop :"	"analyzing postmodernism and popular culture"" /"	"by Marc Sande Kipniss."	"Kipniss, Marc Sande."	"Ph. D."	"University of Washington"	"1993"	"940707s1993\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 170 leaves (1 folded) :"			"30721621"
"A study of Pushkin's ""little tragedies."""			"Konick, Willis,1930-2016,authorhttp://www.wikidata.org/entity/Q99397986"	"Ph. D."	"University of Washington"		"890623s1964\\\\xx\\\\\\\bm\\\000\0\eng\d"	"235 leaves"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:6411179"	"19916919"
"The discourse of the memoir :"	"La Rochefoucauld and seventeenth-century historical understanding /"	"by Tilman Kuchler."	"Kuchler, Tilman."	"M.A."	"University of Washington"	"1989"	"900209s1989\\\\xx\\\\\\\bm\\\000\0\eng\d"	"37 leaves "			"21028679"
"The end of modernity and the beginning of play :"	"the postmodern critique of metaphysics /"	"by Tilman Kuchler."	"Kuchler, Tilman."	"Ph. D."	"University of Washington"	"1992"	"930209s1992\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 255 leaves "			"27400322"
"Michel Butor"	"a spatial imagination."		"Kumm, Karl W. G.,1931-"	"Ph. D."	"University of Washington"		"890525s1970\\\\xx\\\\\\\bm\\\000\0\eng\d"	"2 volumes (421 leaves)"			"19761548"
"A handbook of Charrette scholarship."			"Langford, Margaret Sullivan."	"Ph. D."	"University of Washington"		"890525s1974\\\\xx\\\\\\\bm\\\000\0\eng\d"	"214 leaves"			"19761566"
"From critical realism to socialist realism :"	"a historical survey of realism in modern Chinese literature /"	"by Qingquan Li."	"Li, Qingquan,1953-"	"Ph. D."	"University of Washington"	"1991"	"920124s1991\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 203 leaves "			"25161683"
"The dramatic functions of the mirror in selected Elizabethan and modern French plays."			"Mah, Kai-ho,1928-"	"Ph. D."	"University of Washington"		"890517s1967\\\\xx\\\\\\\bm\\\000\0\eng\d"	"182 leaves"			"19718203"
"Staging myth :"	"dramatic techniques of Yeats and Lorca /"	"by Melinda Poole Mains."	"Mains, Melinda Poole."		"University of Washington"		"800609s1980\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 218 leaves "			"6398510"
"The image of Italy and the Italian in English travel books: 1800-1901 /"		"by Paola Maria Martini."	"Martini, Paola Maria,1941-"	"Ph. D."	"University of Washington"	"1983"	"830921s1983\\\\xx\\\\\\\bmt\\000\0\eng\d"	"iii, 136 leaves "		"http://hdl.handle.net/1773/6636;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:8319433"	"9930755"
"Il brigantino del Papa :"	"Vittorini's posthumous work within the background of his early production /"	"by Claudio Mazzola."	"Mazzola, Claudio."	"Ph. D."	"University of Washington"	"1986"	"870128s1986\\\\xx\\\\\\\bm\\\000\0\eng\d"	"173 leaves "			"15125509"
"The centrality of redemption in T.S. Eliot's plays /"		"by Sandra Louise McCreery."	"McCreery, Sandra Louise."		"University of Washington"		"790821s1979\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 246 leaves "			"5295060"
"Toward a new humanism :"	"a study of Diderot's and Nietzsche's dialectical methodologies /"	"by Joseph Molitorisz, Jr."	"Molitorisz, Joseph."	"Ph. D."	"University of Washington"	"1983"	"840222s1983\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 243 leaves :"			"10443293"
"A computerized content analysis of violence in nineteenth and twentieth century French and American novels."			"Morell, Karen Lee,1943-"	"Ph. D."	"University of Washington"		"890615s1971\\\\xx\a\\\\\bm\\\000\0\eng\d"	"119 leaves"			"19873511"
"Knut Hamsun's literary relationship to America."			"Morgridge, Barbara Gordon,1929-"	"Ph. D."	"University of Washington"		"890607s1965\\\\xx\\\\\\\bm\\\000\0\eng\d"	"330 leaves"		"http://hdl.handle.net/1773/6669;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:6511480"	"19829331"
"Shaw and Japanese drama."			"Motoyama, Mutsuko."	"Ph. D."	"University of Washington"		"890606s1975\\\\xx\a\\\\\bm\\\000\0\eng\d"	"205 leaves"			"19820545"
"The search for an absolute"	"the influence of F.H. Bradley on T.S. Eliot."		"Mountain, John Anthony,1939-"	"Ph. D."	"University of Washington"		"890615s1970\\\\xx\\\\\\\bm\\\000\0\eng\d"	"170 leaves"			"19872588"
"From independence to freedom:"	"a study of the political thinking of Negro-African writers in the 1960's."		"Mpondo, Simon,1941-"	"Ph. D."	"University of Washington"		"890606s1971\\\\xx\\\\\\\bm\\\000\0\eng\d"	"137 leaves"			"19821470"
"Two African Prodigals :"	"Senghor and Okigbo /"	"by Jonathan Ngate."	"Ngate, Jonathan,1948-"		"University of Washington"		"790821s1979\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 181 leaves "			"5295165"
"The short story ""Elzeviro"" from 1920 to 1960 :"	"a study in theme, structure and meaning /"	"by Robin Wynette Pickering-Iazzi."	"Pickering-Iazzi, Robin Wynette."	"Ph. D."	"University of Washington"	"1985"	"850729s1985\\\\xx\\\\\\\bm\\\000\0\eng\d"	"303 leaves "			"12319678"
"The development of a historical perspective in German genre theory from Gottsched to Hegel /"		"by John Pizer."	"Pizer, John."	"Ph. D."	"University of Washington"	"1985"	"850625s1985\\\\xx\\\\\\\bm\\\000\0\eng\d"	"319 leaves "			"12196210"
"An exploration of Eduard Mörike's reading with emphasis on Shakespeare."			"Rennert, Hellmut Hal."	"Ph. D."	"University of Washington"		"890613s1975\\\\xx\\\\\\\bm\\\000\0\eng\d"	"199 leaves"			"19861623"
"Reception of French literature in the USSR, 1920-1940 :"	"as reflected in the Soviet journals of the time /"	"by Helene T. Reshetar."	"Reshetar, Helene T."		"University of Washington"		"801020s1980\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 522 leaves "			"6842368"
"Abra-cadaver"	"the anti-detective story in postmodern fiction."		"Rice-Sayre, Laura Prindle,1946-"	"Ph. D."	"University of Washington"		"890613s1976\\\\xx\\\\\\\bm\\\000\0\eng\d"	"346 leaves"		"http://hdl.handle.net/1773/6641;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:7700615"	"19861322"
"Love and fear of mortal beauty"	"a tension in Gerard Manley Hopkins' poetry."		"Riddle, Florence Kerr,1930-"	"Ph. D."	"University of Washington"		"890613s1968\\\\xx\\\\\\\bm\\\000\0\eng\d"	"269 leaves"			"19862279"
"20th Century blues :"	"a study of affinities between Harold Pinter and Luigi Pirandello /"	"by Michael H. Rocchi."	"Rocchi, Michael H."		"University of Washington"		"801020s1980\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 159 leaves "			"6843083"
"The Devil's dialectic :"	"Chronos and the critique of synthesis /"	"by Claudia Royal."	"Royal, Claudia."	"Ph. D."	"University of Washington"	"1989"	"900720s1989\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 295 leaves "			"22105565"
"Modern dilemmas and the techniques of writing in the novels of Uwe Johnson and J.M.G. Le Clézio"	"a comparative study."		"Salij, H. J.(Hendrik J.),1934-"	"Ph. D."	"University of Washington"		"890517s1971\\\\xx\\\\\\\bm\\\000\0\eng\d"	"165 leaves"			"19717770"
"Rafael Alberti's poetry, 1926-1930"	"representations of marcissus, alienation and historical consciousness. A critical and structural study,"	"by Richard B. Sawrey."	"Sawrey, Richard B."	"Ph. D."	"University of Washington"		"890510s1972\\\\xx\a\\\\\bm\\\000\0beng\d"	"2 volumes (425 leaves)"			"19686548"
"Johan Falkberget and the hermeneutics of fate :"	"equivocation and interpretation in Den fjerde nattevakt, Christianus Sextus, and Nattens brød /"	"by Ann Schmiesing."	"Schmiesing, Ann."	"M.A."	"University of Washington"	"1991"	"911120s1991\\\\xx\\\\\\\bm\\\000\0\eng\d"	"v, 54 leaves "			"24823427"
"The criticism and aesthetics of Charles Nodier in the light of German romantic literary theory."			"Schoenfeld, Marie-Luise,1929-"	"Ph. D."	"University of Washington"		"890510s1972\\\\xx\\\\\\\bm\\\000\0\eng\d"	"256 leaves"			"19686185"
"The vision of death"	"a study of the memento mori expressions in some Latin, German, and French didactic texts of the 11th and 12th centuries."		"Scholz Williams, Gerhild,1942-"	"Ph. D."	"University of Washington"		"890524s1974\\\\xx\\\\\\\bm\\\000\0\eng\d"	"152 leaves"		"http://hdl.handle.net/1773/6690;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:7528465"	"19755708"
"The influence of Persian culture during the early ʻAbbāsīd times :"	"a study of Abū Nuwās' poetry /"	"by Mahmood Shakib."	"Shakib, Mahmood."	"Ph. D."	"University of Washington"	"1982"	"821018s1982\\\\xx\\\\\\\bmt\\000\0\eng\d"	"ii, 160 leaves "		"http://hdl.handle.net/1773/6646;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:8226598"	"8868758"
"The forest of the almighty :"	"being a translation of D.O. Fagunwa's Igbo Olodumare from Yoruba into English /"	"by Pamela J. Smith."	"Smith, Pamela J."	"Ph. D."	"University of Washington"	"1986"	"870128s1986\\\\xx\\\\\\\bm\\\000\0\eng\d"	"222 leaves "	"Fagunwa, D. O.Igbo Olodumare.English."		"15124386"
"The romantic structure :"	"a rhetorical approach to Ch'uan Ch'i and Middle English tales /"	"by Francis Kei-hong So."	"So, Francis Kei-hong."		"University of Washington"		"800321s1979\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 329 leaves "			"6114895"
"The Nim-ŭi chʻimmuk (Your Silence) of Han Yong-un, a Korean poet."			"Solberg, S. E.(Sammy Edward),1930-"	"Ph. D."	"University of Washington"		"890517s1971\\\\xx\\\\\\\bm\\\000\0\eng\d"	"232 leaves"	"Yong-un, Han,1879-1944.Nim-ŭi chʻimmuk."		"19717735"
