245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Bridging research and practice :"	"a theoretical and empirical mapping of design space using solo travel domain /"	"Mania Orand."	"Orand, Mania,author."	"Ph. D."	"University of Washington"	"2017"	"170622t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (v, 220 pages) :"	"Turns, Jennifer A.,degree supervisor."	"http://hdl.handle.net/1773/38542"	"990794264"
"Software and space :"	"investigating how a cosmology research group enacts infrastructure by producing software /"	"Drew Paine."	"Paine, Drew,author."	"Ph. D."	"University of Washington"	"2016"	"161010t20162016waua\\\\obm\\s000\0\eng\d"	"1 online resource (xix, 389 pages) :"	"Lee, Charlotte P.,1969-degree supervisor."	"http://hdl.handle.net/1773/36979"	"960215432"
"An analysis of game-based learning for the design of digital science games /"		"Daniel Perry."	"Perry, Daniel,1983-author."	"Ph. D."	"University of Washington"	"2016"	"160502t20162016waua\\\\obm\\s000\0\eng\d"	"1 online resource (xi, 133 pages) :"	"Aragon, Cecilia Rodriguez,degree supervisor."	"http://hdl.handle.net/1773/35505"	"948518560"
"Bridging the gap between user experience research and design in industry :"	"an analysis of two common communication tools, personas and scenarios /"	"Cynthia Putnam."	"Putnam, Cynthia,1961-"	"Ph. D."	"University of Washington"	"2010"	"120917s2010\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xvii, 681 pages :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3422001"	"810080335"
"Task shifting, tools, and tactics :"	"investigating the collaborative practices of community health workers in India /"	"Robert Racadio."	"Racadio, Robert,author."	"Ph. D."	"University of Washington"	"2016"	"170320t20162016waua\\\\obm\\s000\0\eng\d"	"1 online resource (xii, 244 pages) :"	"Kolko, Beth E.,degree supervisor."	"http://hdl.handle.net/1773/38039"	"976438964"
"""Greater than the sum of its parts"" :"	"coordinating centers as facilitators of network-level work in cancer epidemiology coordinating center enabled networks /"	"Betsy Rolland."	"Rolland, Betsy."	"Ph. D."	"University of Washington"	"2013"	"140415s2013\\\\xx\ab\\\obm\\\000\0\eng\d"	"1 online resource ([iv], 128 pages) :"	"Lee, Charlotte P.,1969-thesis advisor."	"http://hdl.handle.net/1773/22888;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3563233"	"876759700"
"Investigating resource-constrained populations :"	"developing design approaches to support agency and reciprocity /"	"Emma J. Rose."	"Rose, Emma J."	"Ph. D."	"University of Washington"	"2011"	"111221s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x, 345 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3472269"	"769037869"
"Engineering student development :"	"supporting self-authoring engineers /"	"Brook Andrea Sattler."	"Sattler, Brook Andrea."	"Ph. D."	"University of Washington"	"2012"	"140415s2012\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource (ix, 200 pages) :"	"Turns, Jennifer,1968-thesis advisor."	"http://hdl.handle.net/1773/22891"	"876761093"
"A framework of distributed affect in text-based communication /"		"Taylor Jackson Scott."	"Scott, Taylor Jackson,author."	"Ph. D."	"University of Washington"	"2017"	"180410t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (vii, 123 pages) :"	"Aragon, Cecilia Rodriguez,degree supervisor."	"http://hdl.handle.net/1773/40801"	"1030978907"
"Analyzing the participatory medical model :"	"the role of the Internet in healthcare /"	"Pausali Sen."	"Sen, Pausali."	"M.S.H.C.D.E."	"University of Washington"	"2011"	"120221s2011\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 38 leaves "			"777697897"
"Designing technology for inclusive play /"		"Kiley Sobel."	"Sobel, Kiley,author."	"Ph. D."	"University of Washington"	"2018."	"190312t20182018waua\\\\obm\\s000\0\eng\d"	"1 online resource (x, 146 pages) :"	"Kientz, Julie A.,degree supervisor."	"http://hdl.handle.net/1773/43240"	"1089759313"
"Supporting long-term health monitoring by reducing user burden and enhancing user benefit /"		"Hyewon Suh."	"Suh, Hyewon,author."	"Ph. D."	"University of Washington"	"2019."	"191115t20192019waua\\\\obm\\s000\0\eng\d"	"1 online resource (173 pages) :"	"Kientz, Julie A.,degree supervisor."	"http://hdl.handle.net/1773/44645"	"1127827493"
"Designing for temporal motivation /"		"Minhyang (Mia) Suh."	"Suh, Minhyang Mia,author."	"Ph. D."	"University of Washington"	"2020."	"200504t20202020waua\\\\obm\\s000\0\eng\d"	"1 online resource (195 pages) :"	"Hsieh, Gary,degree supervisor."	"http://hdl.handle.net/1773/45405"	"1153151977"
"Understanding university students' use of tools and artifacts in support of collaborative project work /"		"Alexander Thayer."	"Thayer, Alexander."	"Ph. D."	"University of Washington"	"2013"	"140415s2013\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource (x, 300 pages) :"	"Lee, Charlotte P.,1969-thesis advisor."	"http://hdl.handle.net/1773/22890;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3563098"	"876760499"
"Transitioning information and communication technology for development (ICTD) projects from research to implementation /"		"Rebecca W. Walton."	"Walton, Rebecca W."	"Ph. D."	"University of Washington"	"2011"	"120117s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 233 leaves :"			"773144175"
"The effect of visual design and information content on readers' assessments of API reference topics /"		"Robert Bennett Watson."	"Watson, Robert Bennett,author."	"Ph. D."	"University of Washington"	"2015"	"151207t20152015waua\\\\obm\\s000\0\eng\d"	"1 online resource (253 pages) :"	"Spyridakis, Jan H.,degree supervisor."	"http://hdl.handle.net/1773/33466"	"931600455"
"Understanding the structure and dynamics of multi-platform information operations /"		"Tom Wilson."	"Wilson, Tom,author."	"Ph. D."	"University of Washington"	"2021."	"210831t20212021waua\\\\obm\\s000\0\eng\d"	"1 online resource (236 pages) :"	"Starbird, Kate,1975-degree supervisor."	"http://hdl.handle.net/1773/46973"	"1266225763"
"Practitioners' views on cultural adaptation of web-based products /"		"Judith Yaaqoubi."	"Yaaqoubi, Judith,author."	"Ph. D."	"University of Washington"	"2020."	"210811t20202020waua\\\\obm\\s000\0\eng\d"	"1 online resource (viii, 107 pages) :"	"Munson, Sean,degree supervisor.;Reinecke, Katharina,degree supervisor."	"http://hdl.handle.net/1773/46700"	"1263622725"
