245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"The development and testing of a multidimensional instrument for assessing patient satisfaction with hospital care /"		"by Claudia L. Haglund."	"Haglund, Claudia L."	"Ph. D."	"University of Washington"	"1990"	"910815s1990\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 392 leaves :"			"24239756"
"Engaging community in the technical design process :"	"an analysis of the development of the Seattle Public Schools' Budget Builder World Wide Web site /"	"by R. Christopher Halaska."	"Halaska, R. Christopher."	"Ph. D."	"University of Washington"	"1998"	"990920s1998\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 293 pages :"		"http://hdl.handle.net/1773/10310;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9916663"	"42398013"
"Discourse strategies :"	"the persuasive power of early Khârijî poetry /"	"by Ghada Bathish Hallaq."	"Hallaq, Ghada Bathish."	"Ph. D."	"University of Washington"	"1988"	"890324s1988\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 152 leaves "		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:8906905"	"19452275"
"The gate of ijtihād :"	"a study in Islamic legal history /"	"by Wael B. Hallaq."	"Hallaq, Wael B.,1955-"	"Ph. D."	"University of Washington"	"1983"	"830705s1983\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 107 leaves "			"9668255"
"Structure and functional interactions of human type VI collagen in extracellular matrix and tissue /"		"by Robin Allison Heller-Harrison."	"Heller-Harrison, Robin Allison."	"Ph. D."	"University of Washington"	"1987"	"880513s1987\\\\xx\af\\\\bm\\\000\0\eng\d"	"viii, 141 leaves, 29 unnumbered leaves of plates :"			"17950351"
"An ecological assessment of energy and carbon pathways in swards of Bromus tectorum L. on contrasting slope exposures."			"Hinds, Warren Ted."	"Ph. D."	"University of Washington"		"890517s1974\\\\xx\a\\\\\bm\\\000\0\eng\d"	"133 leaves"		"http://www.osti.gov/energycitations/product.biblio.jsp?query_id=1&page=0&osti_id=4249321"	"19720032"
"Chloride-cotransport modulation of synchronous epileptiform discharge /"		"Daryl W. Hochman."	"Hochman, Daryl W."	"Ph. D."	"University of Washington"	"1999"	"000315s1999\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 106 leaves :"		"http://hdl.handle.net/1773/10326;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9936420"	"43638146"
"An ethnoscientific study to determine social and cultural factors affecting native American Indian women during pregnancy /"		"by Beverly M. Horn."	"Horn, Beverly M."	"Ph. D."	"University of Washington"	"1975"	"830406s1975\\\\wau\\\\\\bm\\\000\0\eng\d"	"vii, 279 leaves "			"9381803"
"The Soviet theories of primitive history :"	"forty years of speculation on the origins and evolution of people and society /"	"by Jovan Emil Howe."	"Howe, Jovan Emil."		"University of Washington"		"800731s1980\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 525 leaves "			"6572145"
"An application of latent trait mental test theory to the Washington pre-college testing battery."			"Jensema, Carl John,1944-"	"Ph. D."	"University of Washington"		"890615s1972\\\\xx\a\\\\\bm\\\000\0\eng\d"	"158 leaves"			"19872806"
