245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"The genetics of toxinogeny in converting corynephage beta."			"Larid, Walter Joseph."	"Ph. D."	"University of Washington"		"890601s1975\\\\xx\a\\\\\bm\\\000\0\eng\d"	"74 leaves"			"19792623"
"Transcription by RNA polymerase during the development of Bacillus subtilis bacteriophage SP82 /"		"by Jonathon Michael Lawrie."	"Lawrie, Jonathon Michael."		"University of Washington"		"890620s1978\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xiii, 211 leaves :"			"19899405"
"Glutamic acid fermentation by anaerobic bacteria,"		"by Robert Henry Ledoux, Jr."	"Ledoux, Robert Henry."	"M.S."	"University of Washington"		"890609s1967\\\\xx\a\\\\\bm\\\000\0\eng\d"	"97 leaves"			"19841400"
"Genetic studies on the pathogenicity of Neisseria gonorrhoeae."			"Mayer, Leonard William."	"Ph. D."	"University of Washington"		"890605s1977\\\\xx\a\\\\\bm\\\000\0\eng\d"	"63 leaves"			"19816516"
"Bacillus, subtilis 168:"			"McCarthy, Charlotte Marie,1937-"	"Ph. D."	"University of Washington"		"890518s1967\\\\xx\a\\\\\bm\\\000\0\eng\d"	"84 leaves"			"19728942"
"Mechanisms concerned in the contact-destruction of specific target cells by alloimmune macrophages in vitro."			"McIvor, Keith Lyle,1928-"	"Ph. D."	"University of Washington"		"890523s1969\\\\xx\a\\\\\bm\\\000\0\eng\d"	"97 leaves"			"19750327"
"Plaqueing capacity of imune peritoneal macrophages in allogeneic and xenogeneic systems."			"McIvor, Keith Lyle,1928-"	"M.S."	"University of Washington"		"890523s1967\\\\xx\\\\\\\bm\\\000\0\eng\d"	"59 leaves"			"19750206"
"Studies on the formation of dicarboxylic acids by Micrococcus lactilyticus."			"McPherson, Margaret Diane."	"M.S."	"University of Washington"		"890622s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"97 leaves"			"19910003"
"The use of carriers for eliciting virus and tumor specific antibodies in a mammary tumor system."			"Menon, Miran,1932-"	"Ph. D."	"University of Washington"		"890605s1969\\\\xx\a\\\\\bm\\\000\0\eng\d"	"97 leaves"			"19816335"
"Nucleic acid kinetic and homology studies among several protozoa."			"Mercy, Randolph Reed."	"M.S."	"University of Washington"		"890605s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"70 leaves"			"19816350"
"Studies on the ribosomal ribonucleic acid cistrons of the Enterobacteriaceae."			"Moore, Richard Leroy."	"M.S."	"University of Washington"		"900813s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"50 leaves"			"22212668"
"Comparative studies of the genetic transcription of ribosomal and messenger ribonucleic acid."			"Moore, Richard LeRoy,1936-"	"Ph. D."	"University of Washington"		"890605s1968\\\\xx\a\\\\\bm\\\000\0\eng\d"	"98 leaves"			"19816303"
"Taxonomic studies of pathogenic marine vibrios."			"Paquette, R. Peter."	"M.S."	"University of Washington"		"890531s1968\\\\xx\\\\\\\bm\\\000\0\eng\d"	"29 leaves"			"19789421"
"Studies on the formation and antimicrobial activities of langhans giant cells resulting from fusion of cultured rabbit alveolar macrophages under the influence of lymphokines produced in vitro and in vivo,"		"by Daniel Elliot Parks, Jr."	"Parks, Daniel Elliot."	"Ph. D."	"University of Washington"		"890615s1974\\\\xx\a\\\\\bm\\\000\0\eng\d"	"142 leaves"			"19875990"
"The fine structure of the myxobacterium Chondrococcus columnaris."			"Pate, Jack Laverne,1935-"	"Ph. D."	"University of Washington"		"890619s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"92 leaves"			"19890126"
"A study of the fine structure and life cycles of two new members of the Caulobacterales."			"Pate, Jack Laverne,1935-"	"M.S."	"University of Washington"		"890619s1964\\\\xx\a\\\\\bm\\\000\0\eng\d"	"139 leaves"			"19890062"
"An investigation of aquatic myxobacteria."			"Pavlovskis, Olgerts Raymond."	"M.S."	"University of Washington"		"890622s1964\\\\xx\a\\\\\bm\\\000\0\eng\d"	"68 leaves"			"19909871"
"The immunological response in urinary tract infection."			"Pearsall, Nancy N."	"M.S."	"University of Washington"		"890619s1965\\\\xx\a\\\\\bm\\\000\0\eng\d"	"66 leaves"			"19890093"
"The role of the macrophage in allograft rejection."			"Pearsall, Nancy N."	"Ph. D."	"University of Washington"		"890531s1967\\\\xx\a\\\\\bm\\\000\0\eng\d"	"100 leaves"			"19789475"
"Properties of alkaline phosphatase from Bacillus subtilis."			"Pease, Janet Estelle."	"M.S."	"University of Washington"		"890601s1967\\\\xx\a\\\\\bm\\\000\0\eng\d"	"137 leaves"			"19792632"
"ATP formation from pyruvate degradation by Veillonella alcalescens."			"Pelroy, Richard Anthony,1938-"	"Ph. D."	"University of Washington"		"890615s1969\\\\xx\a\\\\\bm\\\000\0\eng\d"	"124 leaves"			"19872185"
"Studies on the role of reticuloendothelial cells in immune responses."			"Perlich, Mary Elizabeth."	"M.S."	"University of Washington"		"890615s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"93 leaves"			"19875936"
"A study towards the development of an all-purpose defined medium for growth and sensitivity testing of clinical isolates."			"Pope, William A."	"M.S."	"University of Washington"		"890615s1973\\\\xx\a\\\\\bm\\\000\0\eng\d"	"71 leaves"			"19875857"
"Immunoglobulin synthesis by T lymphocytes /"		"by David Lee Putnam."	"Putnam, David Lee."		"University of Washington"		"890615s1978\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 121 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:7824492"	"19875905"
"Cell proliferation and migration and localization of viral DNA synthesis in the Shope papilloma-carcinoma complex as revealed by T-H³ radioautography."			"Rashad, Abdel Latiff Mohamed,1935-"	"Ph. D."	"University of Washington"		"890627s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"151 leaves"			"19932255"
"Variations in amount of virus and in microscopic structure of Shope rabbit papillomas"	"with a note on the distribution of virus-antigen in the tumors."		"Rashad, Abdel Latiff Mohamed,1935-"	"M.S."	"University of Washington"		"890627s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"95 leaves"			"19932226"
"Plasmids and conjugation in Neisseria gonorrhoeae /"		"by Marilyn Cheryl Roberts."	"Roberts, Marilyn Cheryl."		"University of Washington"		"890615s1978\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 91 leaves :"			"19875723"
"Physical, biochemical and immunochemical studies of the RNA phage MS-2."			"Rohrmann, George Frederick,1943-"	"Ph. D."	"University of Washington"		"890522s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"70 leaves"			"19744495"
"Murine myeloma"	"biosynthesis of immunoglobulin and properties of chromatin."		"Shepherd, Judith Helen."	"Ph. D."	"University of Washington"		"890522s1974\\\\xx\a\\\\\bm\\\000\0\eng\d"	"183 leaves"			"19744545"
"Macromolecular synthesis in murine myeloma cells."			"Shutt, Richard Howard,1943-"	"Ph. D."	"University of Washington"		"890516s1971\\\\xx\a\\\\\bm\\\000\0\eng\d"	"93 leaves"			"19713915"
"The molecular characterization of the enterotoxin plasmids of Escherichia coli."			"So, Magdalene Yee-huen."	"Ph. D."	"University of Washington"		"890522s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"76 leaves"			"19744574"
"Microbiological studies of a pulp mill aeration lagoon."			"Stanley, Patricia Mary."	"Ph. D."	"University of Washington"		"890605s1975\\\\xx\a\\\\\bm\\\000\0\eng\d"	"114 leaves"			"19816455"
"A study of the reproduction and pathogenesis of infectious bovine rhinotracheitis virus in cell cultures."			"Stevens, Jack G."	"Ph. D."	"University of Washington"		"900810s1962\\\\xx\a\\\\\bm\\\000\0\eng\d"	"94 leaves"			"22205150"
"Cell dynamics, delayed hypersensitivity and T-cell activity during the development of experimental allergic granulomas of the lung."			"Stevens, James Orval."	"Ph. D."	"University of Washington"		"890605s1975\\\\xx\a\\\\\bm\\\000\0\eng\d"	"2 volumes (418 leaves)"			"19816489"
"Studies on the effects of BCG treatment on tumor development and growth in murine tumor-host systems."			"Sundsmo, John Sievert."	"Ph. D."	"University of Washington"		"890605s1974\\\\xx\a\\\\\bm\\\000\0\eng\d"	"127 leaves"			"19816405"
"The role of the spleen and enhancing antibodies in immunity to tumors of mice."			"Tam, Milton Richard,1944-"	"Ph. D."	"University of Washington"		"890515s1972\\\\xx\a\\\\\bm\\\000\0\eng\d"	"146 leaves"			"19704843"
"Studies on the production of cytotoxic antibodies to Moloney sarcomas and on the nature of blocking factors in the sera of multiparous and tumor-bearing mice."			"Tamerius, John Donald."	"Ph. D."	"University of Washington"		"900906s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"123 leaves"			"22339899"
"The influence of Escherichia coli chromosomal replication functions on the replication of the R plasmid RSF1040."			"Thomas, Mary Elizabeth."	"M.S."	"University of Washington"		"890821s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"78 leaves"			"20223295"
"Studies on immunity in experimental syphilis."			"Titus, Richard Graeme."	"Ph. D."	"University of Washington"		"890821s1977\\\\xx\a\\\\\bm\\\000\0\eng\d"	"163 leaves"			"20223302"
"Passive transfer of immunity to Sarcoma I homografts in C57BL/6K newborn mice."			"Tsoi, Mang-so,1934-"	"M.S."	"University of Washington"		"890706s1963\\\\xx\a\\\\\bm\\\000\0\eng\d"	"49 leaves"			"19967056"
