245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Unsustainable and uncontrolled :"	"framing immigration during the Brexit campaign /"	"Jessica Van Horne."	"Van Horne, Jessica,author."	"M.A.I.S."	"University of Washington"	"2018."	"190115t20182018waua\\\\obm\\s000\0\eng\d"	"1 online resource (v, 92 pages) :"	"Friedman, Kathie,degree supervisor."	"http://hdl.handle.net/1773/42153"	"1082268008"
"Plagiarism in Chinese popular fiction :"	"tolerated copyright infringement in a money-making industry /"	"Wenxu Wang."	"Wang, Wenxu,author."	"M.A.I.S."	"University of Washington"	"2018"	"180627t20182018waua\\\\obm\\s000\0\eng\d"	"1 online resource (58 pages) :"	"Bachman, David M.,degree supervisor.http://www.wikidata.org/entity/Q101933530"	"http://hdl.handle.net/1773/41722"	"1042090285"
"Islamist radicalization in France since the Algerian War /"		"Alison S. Wattles."	"Wattles, Alison,author."	"M.A.I.S."	"University of Washington"	"2018."	"190115t20182018waua\\\\obm\\s000\0\eng\d"	"1 online resource (iii, 57 pages)  :"	"Porter, Deborah Lynn,degree supervisor.http://www.wikidata.org/entity/Q98688499"	"http://hdl.handle.net/1773/42148"	"1082267823"
"The paradoxes of Peruvian infrastructure :"	"NGO governance, rural energy transitions, and public-private partnerships /"	"Dustin Welch García."	"Welch García, Dustin,author."	"Ph. D."	"University of Washington"	"2018"	"181114t20182018waua\\\\obm\\s000\0\eng\d"	"1 online resource (xi, 149 pages) :"	"García, María Elena,degree supervisor.;Kale, Sunila S.,1973-degree supervisor.http://www.wikidata.org/entity/Q99507472"	"http://hdl.handle.net/1773/42124"	"1065531670"
"Resisting erasure :"	"the practice of learning from Maya Mam narratives of survivance in Guatemala /"	"Emilay Willard."	"Willard, Emily,author.http://www.wikidata.org/entity/Q100731491"	"Ph. D."	"University of Washington"	"2020."	"200907t20202020waua\\\\obm\\s000\0\eng\d"	"1 online resource (xi, 125 pages, 111 unnumbered pages) :"	"Godoy, Angelina Snodgrass,degree supervisor.http://www.wikidata.org/entity/Q100733595"	"http://hdl.handle.net/1773/45796"	"1193353349"
"Electoral campaigning and the internet in Japan in the 2010s /"		"Joshua Arnold Williams."	"Williams, Joshua Arnold,author.http://www.wikidata.org/entity/Q107103570"	"Ph. D."	"University of Washington"	"2017"	"170913t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (x, 198 pages) :"	"Pekkanen, Robert,degree supervisor.http://www.wikidata.org/entity/Q100954769"	"http://hdl.handle.net/1773/39881"	"1003585472"
"Interpretative dubbing :"	"the voice stars in the 1980s China /"	"Panyiru Xu."	"Xu, Panyiru,author."	"M.A.I.S."	"University of Washington"	"2017"	"170913t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (63 pages)"	"Braester, Yomi,degree supervisor."	"http://hdl.handle.net/1773/39879"	"1003585405"
"Training lay people as first responders to reduce road traffic mortalities and morbidities in Ethiopia :"	"challenges, barriers and feasible solutions /"	"Mohammed Abdul-kadir."	"Abdul-kadir, Mohammed,author."	"M.A.I.S."	"University of Washington"	"2015"	"151214t20152015waua\\\\obm\\s000\0\eng\d"	"1 online resource (48 pages) :"	"Curran, Sara R.,degree supervisor.http://www.wikidata.org/entity/Q104603996"	"http://hdl.handle.net/1773/33525"	"932140235"
"Citizens not wives :"	"unwed mothers fighting for personhood in the Moroccan kingdom /"	"Madeleine R. Agour."	"Agour, Madeleine R."	"M.A.I.S."	"University of Washington"	"2011"	"111014s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 139 leaves "			"756963507"
"Social art worlds :"	"implications for development from the contexts of Egypt and Kenya /"	"Meredith Bauer."	"Bauer, Meredith."	"M.A.I.S."	"University of Washington"	"2011"	"111014s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 77 pages "			"756979920"
"The ICC and the situation in Kenya :"	"impact and analysis of the Kenyatta and Ruto/Sang trials /"	"Natalie M. Block."	"Block, Natalie M.,author."	"M.A.I.S;M.P.A"	"University of Washington"	"2014"	"141020t20142014wauab\\\obm\\s000\0\eng\d"	"1 online resource (ix, 154 pages) :"	"Lorenz, Frederick M.,1946-degree supervisor."	"http://hdl.handle.net/1773/26001"	"893441816"
"Ghanaian voices :"	"examining the causal relationship between entrepreneurship and women's empowerment in Ghana /"	"Colleen Fulp."	"Fulp, Colleen,author."	"M.A.I.S."	"University of Washington"	"2014"	"140919t20142014wau\\\\\obm\\s000\0\eng\d"	"1 online resource (ii, 73 pages)"	"Curran, Sara,degree supervisor."	"http://hdl.handle.net/1773/25450"	"890946916"
