245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Preparation of diethylnitrosophosphite."			"Kareem, Sajida Abdul."	"M.S."	"University of Washington"		"890602s1957\\\\xx\a\\\\\bm\\\000\0\eng\d"	"15 leaves"			"19803573"
"The applicability of the effusion method to the study of decomposition reactions"	"the Mg(OH)₂-MgO-H₂O and NaOH-Na₂O-H₂O systems."		"Kay, Eric,1926-"	"Ph. D."	"University of Washington"		"890602s1958\\\\xx\a\\\\\bm\\\000\0\eng\d"	"132, [1] leaf"			"19803818"
"Study of the low energy alpha particle fission of natural rhenium."			"Kelsh, Patricia Ann."	"M.S."	"University of Washington"		"890602s1960\\\\xx\a\\\\\bm\\\000\0\eng\d"	"21 leaves"			"19804128"
"A study of 1,3-shifts."			"Kintner, Robert Roy,1928-"	"Ph. D."	"University of Washington"		"890602s1957\\\\xx\a\\\\\m\\\\000\0\eng\d"	"159, [1] leaf"			"19803634"
"A study of the reaction of bromine trifluoride and fluorine to form bromine pentafluoride."			"Kluksdahl, Harris Eudell,1933-"	"Ph. D."	"University of Washington"		"890602s1958\\\\xx\a\\\\\bm\\\000\0\eng\d"	"51, [1] leaf"			"19803942"
"Isomerization of para-tolylisocyanide to para-tolunitrile."			"Kohlmaier, Gundolf Hans,1933-"	"M.S."	"University of Washington"		"890616s1959\\\\xx\a\\\\\bm\\\000\0\eng\d"	"46 leaves"			"19879626"
"Studies in the synthesis of rubrofusarin."			"Koundakjian, Theodore Haig."	"M.S."	"University of Washington"		"890602s1960\\\\xx\a\\\\\bm\\\000\0\eng\d"	"80 leaves"			"19804100"
"Azepine and diazepine ring systems."			"Lund, Richard Boardman,1933-"	"Ph. D."	"University of Washington"		"890718s1959\\\\xx\a\\\\\bm\\\000\0\eng\d"	"245, [1] leaf"			"20024332"
"Synthesis of certain derivatives of 1-azulenethiol and 1,3-azulenedithiol."			"McDonald, Richard Norman,1931-"	"Ph. D."	"University of Washington"		"890620s1957\\\\xx\a\\\\\bm\\\000\0\eng\d"	"108, [1] leaf"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:0022177"	"19899523"
"Carbonium ion stability and the hydride ion transfer reaction."			"McDonough, Leslie Marvin,1930-"	"Ph. D."	"University of Washington"		"890620s1960\\\\xx\a\\\\\bm\\\000\0\eng\d"	"164 leaves"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:6101326"	"19899826"
