245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Reducing disruptive effects of patient no-shows :"	"a scheduling approach /"	"Mingang Fu."	"Fu, Mingang,author."	"Ph. D."	"University of Washington"	"2013."	"140619t20132013waua\\\\obm\\s000\0\eng\d"	"1 online resource (xxi, 105 pages) :"	"Storch, Richard Lee,1947-degree supervisor."	"http://hdl.handle.net/1773/24238"	"881505615"
"An investigation of applications of artificial neural networks in medical prognostics /"		"Peter K. Ghavami."	"Ghavami, Peter K."	"Ph. D."	"University of Washington"	"2012"	"130626s2012\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource (vi, 133 pages) :"	"Kapur, Kailash C.,1941-thesis advisor."	"http://hdl.handle.net/1773/21917;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3542349"	"850988726"
"Approximate dynamic programming for dynamic stochastic resource allocation with applications to healthcare /"		"Yasin Gocgun."	"Gocgun, Yasin."	"Ph. D."	"University of Washington"	"2010"	"110517s2010\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 88 pages :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3443152"	"724622116"
"Analyses of delay in an air traffic system with weather uncertainty /"		"Lisa Grignon."	"Grignon, Lisa."	"M.S.I.E."	"University of Washington"	"2002"	"030411s2002\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 74 leaves :"			"52045109"
"Improving efficiency in allocating pediatric ambulatory care clinics /"		"Haraldur Hrannar Haraldsson."	"Haraldsson, Haraldur Hrannar,author."	"M.S.I.E."	"University of Washington"	"2014"	"141112t20142014waua\\\\obm\\s000\0\eng\d"	"1 online resource (vi, 49 pages) :"	"Zabinsky, Zelda B.,degree supervisor."	"http://hdl.handle.net/1773/26236"	"895082036"
"Developing domain-specific simulation objects for modeling clinical laboratory operations /"		"Shuainan Hu."	"Hu, Shuainan,author."	"M.S.I.E."	"University of Washington"	"2014"	"150116t20142014waua\\\\obm\\s000\0\eng\d"	"1 online resource (ix, 90 pages) :"	"Zabinsky, Zelda B.,degree supervisor."	"http://hdl.handle.net/1773/25990"	"900286991"
"Discrete-event simulation and optimization to improve the performance of a healthcare system /"		"Hao Huang."	"Huang, Hao,1985 September 3-author."	"Ph. D."	"University of Washington"	"2016"	"161114t20162016waua\\\\obm\\s000\0\eng\d"	"1 online resource (vi, 116 pages) :"	"Zabinsky, Zelda B.,degree supervisor."	"http://hdl.handle.net/1773/37155"	"962492563"
"Modeling depression progression dynamics from electronic health record /"		"Jiaqi Huang."	"Huang, Jiaqi,1991-author."	"M.S.I.E."	"University of Washington"	"2016"	"160914t20162016waua\\\\obm\\s000\0\eng\d"	"1 online resource (xi, 89 pages) :"	"Liu, Shan(Health engineer),degree supervisor."	"http://hdl.handle.net/1773/36726"	"958377628"
"Vehicle distance threshold for quayside operations of container terminals /"		"Steven Hwang."	"Hwang, Steven,author."	"M.S.I.E."	"University of Washington"	"2016"	"161114t20162016wau\\\\\obm\\s000\0\eng\d"	"1 online resource (vi, 41 pages)"	"Heim, Joseph A.,degree supervisor.;Mastrangelo, Christina M.,degree supervisor."	"http://hdl.handle.net/1773/37156"	"962492480"
"Accelerated reliability testing :"	"methods, models, and applications /"	"Liang Jiang."	"Jiang, Liang,1972-"	"M.S.I.E."	"University of Washington"	"2001"	"010831s2001\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 80 leaves :"			"47888948"
"Non-invasive real-time assessment of muscle fatigue during computer use :"	"using mouse button-click and keystroke durations /"	"Jeong Ho Kim."	"Kim, Jeong Ho,1977-"	"Ph. D."	"University of Washington"	"2012"	"121213s2012\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource (vii, 110 pages) :"	"Johnson, Peter Wallace,thesis advisor."	"http://hdl.handle.net/1773/20701;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3521511"	"821054853"
