245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Service-learning :"	"an effective means to foster civic engagement? /"	"Amy K. Garrigan."	"Garrigan, Amy K."	"M.A.I.S."	"University of Washington, Tacoma"	"2007"	"080212s2007\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 59 leaves "			"191961987"
"Extractions of the kaleidoscope :"	"addressing the postmodern crisis in identity through complex systems theory /"	"Sheri Gietzen."	"Gietzen, Sheri."	"M.A.I.S."	"University of Washington, Tacoma"	"2006"	"070222s2006\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 110 leaves :"			"84847798"
"Good night, sleep tight :"	"lessons for public health professionals around infant sleep practices /"	"Denise Gonzalez-Walker."	"Gonzalez-Walker, Denise."	"M.A.I.S."	"University of Washington, Tacoma"	"2006"	"061107s2006\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 52 leaves :"			"75316687"
"The history of transportation racism and how it affected the evacuation of New Orleans during Hurricane Katrina /"		"Sophia Goode."	"Goode, Sophia."	"M.A.I.S."	"University of Washington, Tacoma"	"2011"	"111101s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 62 leaves "			"759183627"
"A twisted tree in a forest of abuse :"	"domestic violence, power, and the patriarchy /"	"Jackie K. Green."	"Green, Jackie K."	"M.A.I.S."	"University of Washington, Tacoma"	"2007"	"070921s2007\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 80 leaves :"			"173222174"
"500,000 foster youth :"	"a chance for success /"	"Latasha E. Haynes."	"Haynes, Latasha E."	"M.A.I.S."	"University of Washington, Tacoma"	"2008"	"081114s2008\\\\xx\\\\\\\bm\\\000\0\eng\d"	"vi, 72 leaves "			"271672246"
"Beyond attachment theory :"	"helping people reach their potential /"	"Franclyn J. Heinecke."	"Heinecke, Franclyn J."	"M.A.I.S."	"University of Washington, Tacoma"	"2007"	"070614s2007\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 61 leaves "			"144560675"
"Defending women's basic human rights :"	"cultural relativism, female genital mutilation, and arranged marriage /"	"Rebecca M. Hendricks."	"Hendricks, Rebecca M."	"M.A.I.S."	"University of Washington, Tacoma"	"2006"	"070504s2006\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 59 leaves "			"124004707"
"Shared humanity :"	"protection and its problems /"	"Corrie Hulse."	"Hulse, Corrie."	"M.A.I.S."	"University of Washington, Tacoma"	"2010"	"101130s2010\\\\xx\a\\\\\bm\\\000\0\eng\d"	"i, 97 leaves "			"688353585"
"Toward a critical understanding of chronic homelessness :"	"on Tacoma's Housing First Encampment Elimination Program /"	"Adrienne Ione."	"Ione, Adrienne."	"M.A.I.S."	"University of Washington"	"2009"	"090828s2009\\\\xx\\\\\\\bm\\\000\0\eng\d"	"v, 135 leaves "			"434523781"
